Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,240057,5,14
ft,1,240058,5,14
ft,2,240059,5,0
ft,3,240060,5,14
ft,4,240061,5,14
ft,5,240063,5,14
ft,6,240066,5,14
ft,7,240071,5,14
ft,8,240072,5,0
ft,9,240076,5,14
ft,10,240100,5,14
ft,11,240101,5,14
ft,12,240103,5,14
ft,13,245284,5,14
ft,14,245285,5,14
ft,15,245287,5,14
ft,16,245290,5,14
ft,17,245291,5,0
ft,18,245297,5,14
ft,19,245311,5,14
ft,20,245313,5,14
ft,21,245316,5,14
ft,22,245319,5,0
ft,23,245321,5,14
ft,24,245322,5,14
ft,25,245325,5,14
ft,26,245326,5,14
ft,27,245330,5,14
ft,28,245331,5,14
ft,29,245336,5,14
ft,30,245338,5,14
ft,31,245342,5,0
ft,32,245352,5,14
ft,33,245357,5,14
ft,34,245358,5,14
ft,35,245362,5,14
ft,36,245392,5,14
ft,37,245393,5,14
ft,38,245395,5,0
ft,39,245396,5,14
ft,40,245397,5,14
ft,41,245400,5,0
ft,42,245404,5,0
ft,43,245463,5,14
ft,44,245466,5,14
ft,45,245488,5,14
ft,46,245491,5,14
ft,47,245492,5,14
ft,48,245494,5,14
ft,49,245535,5,14
ft,50,245540,5,14
ft,51,245541,5,14
ft,52,245544,5,14
ft,53,245545,5,14
ft,54,245552,5,14
ft,55,245554,5,14
ft,56,245555,5,14
ft,57,250648,5,14
ft,58,250649,5,14
ft,59,250652,5,14
ft,60,250653,5,14
ft,61,250658,5,14
ft,62,250659,5,14
ft,63,250662,5,14
ft,64,250663,5,14
ft,65,250669,5,14
ft,66,250672,5,14
ft,67,250682,5,14
ft,68,250696,5,14
ft,69,250697,5,14
ft,70,250701,5,14
ft,71,250702,5,14
ft,72,250709,5,14
ft,73,250710,5,14
ft,74,250711,5,0
ft,75,250716,5,0
ft,76,250762,5,14
ft,77,250765,5,14
ft,78,250771,5,14
ft,79,250778,5,14
ft,80,250792,5,14
ft,81,250797,5,14
ft,82,250798,5,0
ft,83,250802,5,0
ft,84,250827,5,14
ft,85,250828,5,14
ft,86,250830,5,14
ft,87,250832,5,14
ft,88,250835,5,14
ft,89,250842,5,14
ft,90,250844,5,14
ft,91,250845,5,14
ft,92,250869,5,14
ft,93,250870,5,14
ft,94,250872,5,14
ft,95,250874,5,14
ft,96,250875,5,14
ft,97,250876,5,14
ft,98,250883,5,14
ft,99,250891,5,14
ft,100,250893,5,0
ft,101,250894,5,0
ft,102,250900,5,14
ft,103,250901,5,0
ft,104,250903,5,14
ft,105,250906,5,14
ft,106,250911,5,14
ft,107,250912,5,14
ft,108,250915,5,14
ft,109,250916,5,14
ft,110,250919,5,0
ft,111,250920,5,0
ft,112,250922,5,0
ft,113,250924,5,14
ft,114,256223,5,14
ft,115,256224,5,14
ft,116,256227,5,14
ft,117,256228,5,14
ft,118,256231,5,14
ft,119,256232,5,0
ft,120,256233,5,14
ft,121,256237,5,14
ft,122,256243,5,14
ft,123,256257,5,14
ft,124,256260,5,14
ft,125,256261,5,14
ft,126,256263,5,14
ft,127,256265,5,14
ft,128,256267,5,14
ft,129,256280,5,14
ft,130,256281,5,14
ft,131,256284,5,0
ft,132,256299,5,14
ft,133,256301,5,14
ft,134,256302,5,0
ft,135,256358,5,14
ft,136,256362,5,14
ft,137,256408,5,0
ft,138,256446,5,14
ft,139,256453,5,14
ft,140,256462,5,14
ft,141,256469,5,14
ft,142,257237,5,14
ft,143,257238,5,14
ft,144,257252,5,14
ft,145,261683,5,14
ft,146,261687,5,14
ft,147,261691,5,14
ft,148,261692,5,14
ft,149,261717,5,14
ft,150,261721,5,14
ft,151,261725,5,14
ft,152,261763,5,14
ft,153,261764,5,14
ft,154,261772,5,14
ft,155,261774,5,0
ft,156,261775,5,14
ft,157,261776,5,14
ft,158,261778,5,14
ft,159,261782,5,14
ft,160,261792,5,14
ft,161,261813,5,14
ft,162,261816,5,14
ft,163,261820,5,14
ft,164,261821,5,14
ft,165,261822,5,14
ft,166,261833,5,14
ft,167,261860,5,14
ft,168,261862,5,14
ft,169,262048,5,14
ft,170,262049,5,14
ft,171,262050,5,0
ft,172,262052,5,14
ft,173,262055,5,14
ft,174,262056,5,14
ft,175,262061,5,14
ft,176,262071,5,14
ft,177,262086,5,14
ft,178,262087,5,14
ft,179,262090,5,14
ft,180,262123,5,14
ft,181,262133,5,14
ft,182,262869,5,0
ft,183,267034,5,0
ft,184,267037,5,0
ft,185,267040,5,14
ft,186,267043,5,14
ft,187,267045,5,14
ft,188,267048,5,14
ft,189,267050,5,0
ft,190,267060,5,14
ft,191,267061,5,14
ft,192,267063,5,14
ft,193,267068,5,14
ft,194,267109,5,0
ft,195,267127,5,14
ft,196,267128,5,14
ft,197,267267,5,14
ft,198,267268,5,14
ft,199,267278,5,14
ft,200,267279,5,14
ft,201,267280,5,14
ft,202,267283,5,14
ft,203,267286,5,14
ft,204,267291,5,14
ft,205,267346,5,14
ft,206,267353,5,14
ft,207,267356,5,14
ft,208,267362,5,14
ft,209,267369,5,14
ft,210,267379,5,14
ft,211,268826,5,14
ft,212,268828,5,14
ft,213,268833,5,14
ft,214,268841,5,14
ft,215,268842,5,0
ft,216,268845,5,14
ft,217,268847,5,0
ft,218,268857,5,14
ft,219,268858,5,0
ft,220,268860,5,0
ft,221,272357,5,14
ft,222,272362,5,14
ft,223,272365,5,14
ft,224,272366,5,14
ft,225,272401,5,14
ft,226,272404,5,14
ft,227,272405,5,14
ft,228,272407,5,14
ft,229,272412,5,14
ft,230,272440,5,14
ft,231,272444,5,14
ft,232,272447,5,14
ft,233,272448,5,14
ft,234,272456,5,14
ft,235,272458,5,14
ft,236,272460,5,0
ft,237,272483,5,14
ft,238,272486,5,14
ft,239,272487,5,0
ft,240,272489,5,14
ft,241,272491,5,14
ft,242,272494,5,14
ft,243,272495,5,14
ft,244,272501,5,0
ft,245,272524,5,14
ft,246,272526,5,14
ft,247,272528,5,14
ft,248,272532,5,14
ft,249,272539,5,0
ft,250,272555,5,14
ft,251,272556,5,14
ft,252,272558,5,14
ft,253,272559,5,0
ft,254,272560,5,14
ft,255,272561,5,0
ft,256,272562,5,14
ft,257,272563,5,0
ft,258,272564,5,14
ft,259,272566,5,14
ft,260,272574,5,14
ft,261,272581,5,0
ft,262,272585,5,14
ft,263,272591,5,14
ft,264,272592,5,0
ft,265,272595,5,0
ft,266,272604,5,14
ft,267,272606,5,0
ft,268,272610,5,14
ft,269,272611,5,14
ft,270,272613,5,14
ft,271,272618,5,14
ft,272,272620,5,14
ft,273,272622,5,0
ft,274,272625,5,0
ft,275,272744,5,14
ft,276,272745,5,14
ft,277,272830,5,14
ft,278,272831,5,0
ft,279,272832,5,14
ft,280,272834,5,14
ft,281,272835,5,0
ft,282,272838,5,14
ft,283,272839,5,14
ft,284,272844,5,0
ft,285,272855,5,14
ft,286,272857,5,14
ft,287,272867,5,14
ft,288,272869,5,14
ft,289,272875,5,14
ft,290,272876,5,14
ft,291,272894,5,14
ft,292,272895,5,14
ft,293,272898,5,14
ft,294,272901,5,14
ft,295,272906,5,14
ft,296,272920,5,14
ft,297,272922,5,14
ft,298,272929,5,14
ft,299,272977,5,0
ft,300,273020,5,14
ft,301,273028,5,14
ft,302,273125,5,14
ft,303,273130,5,14
ft,304,273137,5,14
ft,305,273139,5,0
ft,306,278454,5,14
ft,307,278457,5,14
ft,308,278460,5,14
ft,309,278462,5,14
