Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,21277,5,0
ft,1,21477,5,14
ft,2,21478,5,14
ft,3,21779,5,14
ft,4,21787,5,14
ft,5,21790,5,14
ft,6,21791,5,14
ft,7,21815,5,0
ft,8,21823,5,14
ft,9,21824,5,14
ft,10,21832,5,14
ft,11,21833,5,14
ft,12,21966,5,14
ft,13,21970,5,14
ft,14,21979,5,14
ft,15,21980,5,14
ft,16,21981,5,14
ft,17,21987,5,14
ft,18,21989,5,14
ft,19,21991,5,14
ft,20,21993,5,14
ft,21,22001,5,14
ft,22,22004,5,14
ft,23,22007,5,14
ft,24,22012,5,14
ft,25,22013,5,0
ft,26,22014,5,14
ft,27,22016,5,14
ft,28,22017,5,14
ft,29,22018,5,14
ft,30,22019,5,0
ft,31,22020,5,14
ft,32,22026,5,14
ft,33,22032,5,14
ft,34,22034,5,14
ft,35,22038,5,14
ft,36,22041,5,14
ft,37,22052,5,14
ft,38,22053,5,14
ft,39,22054,5,14
ft,40,22066,5,14
ft,41,22067,5,14
ft,42,22068,5,14
ft,43,22069,5,14
ft,44,22070,5,14
ft,45,22083,5,14
ft,46,22084,5,14
ft,47,22085,5,14
ft,48,22086,5,14
ft,49,22087,5,14
ft,50,22104,5,0
ft,51,22119,5,0
ft,52,22148,5,14
ft,53,22149,5,0
ft,54,22153,5,14
ft,55,22155,5,14
ft,56,22165,5,14
ft,57,22172,5,14
ft,58,22173,5,14
ft,59,22190,5,14
ft,60,22195,5,14
ft,61,22202,5,14
ft,62,22211,5,14
ft,63,22212,5,14
ft,64,22213,5,14
ft,65,22220,5,0
ft,66,22324,5,14
ft,67,22332,5,14
ft,68,22341,5,14
ft,69,22342,5,14
ft,70,22343,5,14
ft,71,22415,5,14
ft,72,22416,5,0
ft,73,22418,5,14
ft,74,22420,5,14
ft,75,22443,5,14
ft,76,22447,5,0
ft,77,22473,5,14
ft,78,22481,5,14
ft,79,22484,5,14
ft,80,22485,5,0
ft,81,22486,5,14
ft,82,22525,5,0
ft,83,22708,5,14
ft,84,22709,5,14
ft,85,22742,5,14
ft,86,22743,5,14
ft,87,22744,5,14
ft,88,22745,5,14
ft,89,22748,5,14
ft,90,22750,5,14
ft,91,22764,5,14
ft,92,22815,5,14
ft,93,22822,5,14
ft,94,22827,5,14
ft,95,22828,5,14
ft,96,22829,5,14
ft,97,22830,5,14
ft,98,22856,5,0
ft,99,22861,5,14
ft,100,22966,5,14
ft,101,23110,5,14
ft,102,23111,5,14
ft,103,23112,5,14
ft,104,23113,5,14
ft,105,23114,5,14
ft,106,23115,5,14
ft,107,23116,5,14
ft,108,23117,5,14
ft,109,23175,5,14
ft,110,23176,5,14
ft,111,23177,5,14
ft,112,23178,5,14
ft,113,23179,5,14
ft,114,23209,5,0
ft,115,23211,5,14
ft,116,23294,5,14
ft,117,23296,5,14
ft,118,23299,5,14
ft,119,23300,5,14
ft,120,23304,5,14
ft,121,23328,5,0
ft,122,23409,5,14
ft,123,23530,5,14
ft,124,23531,5,14
ft,125,23537,5,14
ft,126,23538,5,14
ft,127,23587,5,14
ft,128,23589,5,14
ft,129,23680,5,14
ft,130,23687,5,14
ft,131,23696,5,14
ft,132,23700,5,14
ft,133,23702,5,14
ft,134,23703,5,14
ft,135,23707,5,14
ft,136,23708,5,14
ft,137,23721,5,0
ft,138,23722,5,14
ft,139,23724,5,14
ft,140,23725,5,14
ft,141,23731,5,14
ft,142,23734,5,14
ft,143,23736,5,14
ft,144,23747,5,14
ft,145,23748,5,14
ft,146,23750,5,14
ft,147,23753,5,14
ft,148,23756,5,14
ft,149,23762,5,14
ft,150,23763,5,0
ft,151,23764,5,14
ft,152,23765,5,14
ft,153,23766,5,14
ft,154,23767,5,14
ft,155,23774,5,14
ft,156,23801,5,14
ft,157,23802,5,14
ft,158,24067,5,14
ft,159,24068,5,14
ft,160,24069,5,14
ft,161,24070,5,14
ft,162,24071,5,14
ft,163,24073,5,14
ft,164,24080,5,0
ft,165,24082,5,14
ft,166,24084,5,14
ft,167,24087,5,14
ft,168,24116,5,14
ft,169,24210,5,14
ft,170,24213,5,14
ft,171,24219,5,0
ft,172,24221,5,14
ft,173,24222,5,14
ft,174,24258,5,14
ft,175,24259,5,14
ft,176,24277,5,14
ft,177,24278,5,14
ft,178,24494,5,14
ft,179,24496,5,14
ft,180,24499,5,0
ft,181,24505,5,14
ft,182,24554,5,14
ft,183,24558,5,14
ft,184,24641,5,14
ft,185,24642,5,0
ft,186,24649,5,14
ft,187,24652,5,14
ft,188,24654,5,0
ft,189,24662,5,14
ft,190,24860,5,0
ft,191,24981,5,14
ft,192,24989,5,0
ft,193,24995,5,14
ft,194,24996,5,14
ft,195,24999,5,14
ft,196,25002,5,0
ft,197,25004,5,14
ft,198,25029,5,14
ft,199,25319,5,14
ft,200,25487,5,14
ft,201,25495,5,14
ft,202,25496,5,14
ft,203,25497,5,14
ft,204,25515,5,0
ft,205,25532,5,0
ft,206,25540,5,14
ft,207,25541,5,14
ft,208,25542,5,0
ft,209,25548,5,14
ft,210,25550,5,14
ft,211,25836,5,0
ft,212,25843,5,0
ft,213,25969,5,14
ft,214,25989,5,14
ft,215,26002,5,14
ft,216,26007,5,14
ft,217,26008,5,14
ft,218,26009,5,14
ft,219,26115,5,14
ft,220,26120,5,14
ft,221,26121,5,14
ft,222,26122,5,14
ft,223,26123,5,14
ft,224,26232,5,14
ft,225,26534,5,14
ft,226,26536,5,14
ft,227,26543,5,14
ft,228,26547,5,14
ft,229,26550,5,14
