Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,42035,5,17
ft,1,42036,5,17
ft,2,42037,5,17
ft,3,42069,5,17
ft,4,42070,5,17
ft,5,42071,5,17
ft,6,42072,5,17
ft,7,42458,5,17
ft,8,42459,5,17
ft,9,42927,5,17
ft,10,43272,5,17
ft,11,43312,5,0
ft,12,43313,5,17
ft,13,43315,5,17
ft,14,43317,5,17
ft,15,43319,5,17
ft,16,43320,5,17
ft,17,43321,5,17
ft,18,43350,5,17
ft,19,43354,5,17
ft,20,43355,5,17
ft,21,43362,5,17
ft,22,43371,5,17
ft,23,43374,5,17
ft,24,43407,5,0
ft,25,43603,5,17
ft,26,43604,5,17
ft,27,43605,5,17
ft,28,43606,5,17
ft,29,43607,5,17
ft,30,43608,5,17
ft,31,43620,5,17
ft,32,43621,5,17
ft,33,43622,5,17
ft,34,43672,5,17
ft,35,43751,5,17
ft,36,43752,5,17
ft,37,43753,5,17
ft,38,43754,5,17
ft,39,43761,5,17
ft,40,44259,5,17
ft,41,44265,5,17
ft,42,44270,5,17
ft,43,44271,5,17
ft,44,44272,5,17
ft,45,44276,5,17
ft,46,44277,5,17
ft,47,44278,5,17
ft,48,44280,5,17
ft,49,44344,5,17
ft,50,44345,5,17
ft,51,44346,5,17
ft,52,44350,5,17
ft,53,44351,5,17
ft,54,44353,5,17
ft,55,44354,5,0
ft,56,44628,5,17
ft,57,44629,5,17
ft,58,44769,5,17
ft,59,44770,5,17
ft,60,44787,5,17
ft,61,44790,5,17
ft,62,44791,5,17
ft,63,44792,5,17
ft,64,44799,5,17
ft,65,45269,5,17
ft,66,45270,5,17
ft,67,45342,5,17
ft,68,45348,5,17
ft,69,45349,5,0
ft,70,45353,5,0
ft,71,45370,5,17
ft,72,45374,5,17
ft,73,45375,5,0
ft,74,45376,5,17
ft,75,45379,5,17
ft,76,45507,5,17
ft,77,45511,5,17
ft,78,45513,5,17
ft,79,45514,5,0
ft,80,45516,5,17
ft,81,45529,5,17
ft,82,45533,5,17
ft,83,45534,5,17
ft,84,45537,5,17
ft,85,45538,5,17
ft,86,45924,5,17
ft,87,45925,5,17
ft,88,45955,5,17
ft,89,46011,5,0
ft,90,46018,5,17
ft,91,46019,5,17
ft,92,46020,5,17
ft,93,46024,5,17
ft,94,46033,5,17
ft,95,46035,5,17
ft,96,46042,5,17
ft,97,46052,5,0
ft,98,46053,5,0
ft,99,46055,5,17
ft,100,46059,5,17
ft,101,46060,5,0
ft,102,46087,5,17
ft,103,46088,5,0
ft,104,46091,5,17
ft,105,46092,5,17
ft,106,46259,5,17
ft,107,46260,5,17
ft,108,46262,5,17
ft,109,46263,5,17
ft,110,46266,5,17
ft,111,46549,5,17
ft,112,46561,5,17
ft,113,46573,5,17
ft,114,46577,5,17
ft,115,46578,5,17
ft,116,46579,5,17
ft,117,46585,5,17
ft,118,46586,5,17
ft,119,46614,5,17
ft,120,46618,5,0
ft,121,46620,5,17
ft,122,46623,5,17
ft,123,46640,5,17
ft,124,46641,5,17
ft,125,46646,5,17
ft,126,46649,5,17
ft,127,46653,5,17
ft,128,46655,5,17
ft,129,46658,5,17
ft,130,46660,5,17
ft,131,46661,5,17
ft,132,46662,5,17
ft,133,46663,5,17
ft,134,46664,5,17
ft,135,46669,5,17
ft,136,46670,5,17
ft,137,46676,5,17
ft,138,46677,5,17
ft,139,46679,5,17
ft,140,46680,5,17
ft,141,46686,5,17
ft,142,46687,5,17
ft,143,46690,5,17
ft,144,46691,5,17
ft,145,46717,5,17
ft,146,46718,5,17
ft,147,46720,5,17
