Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,34124,5,14
ft,1,34127,5,14
ft,2,34128,5,14
ft,3,34135,5,14
ft,4,34199,5,14
ft,5,34200,5,14
ft,6,34827,5,14
ft,7,34828,5,14
ft,8,34829,5,14
ft,9,34830,5,14
ft,10,34836,5,14
ft,11,34837,5,14
ft,12,34838,5,14
ft,13,35211,5,14
ft,14,35214,5,14
ft,15,35219,5,14
ft,16,35220,5,14
ft,17,35221,5,14
ft,18,35227,5,14
ft,19,35232,5,14
ft,20,35234,5,14
ft,21,35236,5,14
ft,22,35240,5,14
ft,23,35241,5,14
ft,24,35406,5,14
ft,25,35407,5,14
ft,26,35437,5,14
ft,27,35438,5,14
ft,28,35441,5,14
ft,29,35576,5,14
ft,30,35578,5,14
ft,31,35579,5,14
ft,32,36136,5,14
ft,33,36137,5,14
ft,34,36518,5,14
ft,35,36988,5,14
ft,36,36990,5,14
ft,37,36998,5,14
ft,38,37001,5,14
ft,39,37004,5,14
ft,40,37048,5,14
ft,41,37368,5,14
ft,42,37382,5,14
ft,43,37384,5,14
ft,44,37386,5,14
ft,45,37917,5,14
ft,46,38398,5,14
ft,47,38400,5,14
ft,48,38684,5,14
ft,49,38685,5,14
ft,50,38991,5,14
ft,51,38994,5,14
ft,52,39027,5,14
ft,53,39031,5,14
ft,54,39034,5,14
ft,55,39341,5,14
ft,56,39728,5,14
ft,57,39731,5,14
ft,58,39735,5,14
ft,59,39736,5,14
ft,60,39897,5,14
ft,61,39900,5,14
ft,62,40576,5,14
ft,63,40583,5,14
ft,64,40586,5,14
ft,65,40823,5,14
ft,66,40825,5,14
ft,67,40828,5,14
ft,68,40863,5,14
ft,69,40870,5,14
ft,70,40871,5,14
ft,71,41086,5,14
ft,72,41087,5,14
ft,73,41957,5,14
ft,74,42347,5,14
ft,75,42348,5,14
ft,76,42349,5,14
ft,77,42350,5,14
ft,78,42351,5,14
ft,79,42352,5,14
ft,80,42353,5,14
