Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,21212,5,0
ft,1,21379,5,14
ft,2,21381,5,14
ft,3,21382,5,0
ft,4,21526,5,14
ft,5,21527,5,14
ft,6,21529,5,14
ft,7,21531,5,14
ft,8,21536,5,14
ft,9,21543,5,14
ft,10,21546,5,0
ft,11,21547,5,14
ft,12,21548,5,14
ft,13,21747,5,14
ft,14,21748,5,14
ft,15,21803,5,14
ft,16,21805,5,14
ft,17,21806,5,0
ft,18,21813,5,14
ft,19,21821,5,14
ft,20,21824,5,14
ft,21,21825,5,14
ft,22,21826,5,14
ft,23,21827,5,14
ft,24,21828,5,14
ft,25,21829,5,14
ft,26,21831,5,14
ft,27,21833,5,14
ft,28,21838,5,14
ft,29,21841,5,14
ft,30,21847,5,14
ft,31,21849,5,14
ft,32,21855,5,14
ft,33,21856,5,14
ft,34,21858,5,0
ft,35,21866,5,14
ft,36,21867,5,14
ft,37,21870,5,14
ft,38,21873,5,14
ft,39,21877,5,14
ft,40,21898,5,14
ft,41,21899,5,14
ft,42,21900,5,14
ft,43,21901,5,14
ft,44,21940,5,14
ft,45,21941,5,14
ft,46,21942,5,0
ft,47,21944,5,14
ft,48,21949,5,14
ft,49,21952,5,14
ft,50,21953,5,14
ft,51,21954,5,14
ft,52,21956,5,0
ft,53,21960,5,0
ft,54,22038,5,14
ft,55,22039,5,14
ft,56,22040,5,14
ft,57,22041,5,14
ft,58,22042,5,14
ft,59,22043,5,14
ft,60,22044,5,14
ft,61,22045,5,14
ft,62,22046,5,14
ft,63,22085,5,14
ft,64,22086,5,14
ft,65,22087,5,14
ft,66,22088,5,14
ft,67,22089,5,14
ft,68,22130,5,14
ft,69,22131,5,0
ft,70,22134,5,14
ft,71,22136,5,14
ft,72,22137,5,14
ft,73,22143,5,14
ft,74,22144,5,14
ft,75,22145,5,14
ft,76,22146,5,14
ft,77,22147,5,14
ft,78,22148,5,14
ft,79,22149,5,14
ft,80,22150,5,14
ft,81,22186,5,0
ft,82,22206,5,0
ft,83,22272,5,14
ft,84,22273,5,14
ft,85,22274,5,14
ft,86,22275,5,14
ft,87,22281,5,14
ft,88,22286,5,14
ft,89,22293,5,14
ft,90,22311,5,14
ft,91,22312,5,14
ft,92,22314,5,0
ft,93,22315,5,14
ft,94,22322,5,14
ft,95,22327,5,14
ft,96,22330,5,14
ft,97,22332,5,0
ft,98,22333,5,14
ft,99,22339,5,14
ft,100,22346,5,0
ft,101,22348,5,14
ft,102,22349,5,14
ft,103,22350,5,14
ft,104,22361,5,14
ft,105,22369,5,14
ft,106,22372,5,14
ft,107,22374,5,14
ft,108,22408,5,14
ft,109,22409,5,14
ft,110,22410,5,14
ft,111,22411,5,14
ft,112,22536,5,14
ft,113,22539,5,14
ft,114,22541,5,14
ft,115,22543,5,14
ft,116,22545,5,14
ft,117,22550,5,14
ft,118,22671,5,0
ft,119,22726,5,14
ft,120,22732,5,14
ft,121,22733,5,14
ft,122,22779,5,14
ft,123,22780,5,14
ft,124,22781,5,14
ft,125,22782,5,14
ft,126,22783,5,14
ft,127,22784,5,14
ft,128,22812,5,0
ft,129,22823,5,0
ft,130,22921,5,14
ft,131,22928,5,14
ft,132,22947,5,14
ft,133,22948,5,14
ft,134,23091,5,14
ft,135,23092,5,14
ft,136,23097,5,14
ft,137,23098,5,14
ft,138,23099,5,14
ft,139,23106,5,14
ft,140,23140,5,14
ft,141,23186,5,0
ft,142,23187,5,14
ft,143,23189,5,14
ft,144,23193,5,14
ft,145,23194,5,14
ft,146,23195,5,0
ft,147,23197,5,14
ft,148,23283,5,0
ft,149,23326,5,14
ft,150,23336,5,14
ft,151,23338,5,14
ft,152,23494,5,14
ft,153,23495,5,14
ft,154,23498,5,14
ft,155,23499,5,14
ft,156,23500,5,14
ft,157,23509,5,0
ft,158,23510,5,0
ft,159,23557,5,14
ft,160,23558,5,14
ft,161,23564,5,14
ft,162,23566,5,14
ft,163,23608,5,0
ft,164,23609,5,14
ft,165,23610,5,14
ft,166,23612,5,14
ft,167,23617,5,14
ft,168,23620,5,14
ft,169,23621,5,0
ft,170,23624,5,14
ft,171,23626,5,14
ft,172,23627,5,14
ft,173,23628,5,14
ft,174,23629,5,14
ft,175,23753,5,14
ft,176,23754,5,14
ft,177,23772,5,14
ft,178,23780,5,14
ft,179,23788,5,14
ft,180,23792,5,14
ft,181,23834,5,14
ft,182,23835,5,14
ft,183,23839,5,14
ft,184,23840,5,14
ft,185,24025,5,14
ft,186,24030,5,14
ft,187,24031,5,14
ft,188,24034,5,14
ft,189,24037,5,14
ft,190,24039,5,14
ft,191,24090,5,14
ft,192,24091,5,14
ft,193,24092,5,14
ft,194,24093,5,14
ft,195,24094,5,14
ft,196,24123,5,14
ft,197,24125,5,14
ft,198,24134,5,14
ft,199,24136,5,14
ft,200,24139,5,14
ft,201,24141,5,0
ft,202,24143,5,14
ft,203,24144,5,14
ft,204,24226,5,14
ft,205,24227,5,14
ft,206,24241,5,0
ft,207,24242,5,14
ft,208,24243,5,14
ft,209,24251,5,0
ft,210,24255,5,0
ft,211,24325,5,0
ft,212,24468,5,14
ft,213,24473,5,14
ft,214,24494,5,14
ft,215,24495,5,0
ft,216,24496,5,14
ft,217,24499,5,0
ft,218,24505,5,14
ft,219,24556,5,14
ft,220,24563,5,0
ft,221,24666,5,14
ft,222,24858,5,14
ft,223,24860,5,0
ft,224,24921,5,14
ft,225,25273,5,14
ft,226,25285,5,0
ft,227,25296,5,14
ft,228,25297,5,14
ft,229,25300,5,14
ft,230,25304,5,0
ft,231,25305,5,14
ft,232,25359,5,14
ft,233,25360,5,0
ft,234,25380,5,14
ft,235,25381,5,14
ft,236,25388,5,14
ft,237,25390,5,14
ft,238,25775,5,14
ft,239,25780,5,14
ft,240,25781,5,14
ft,241,25782,5,14
ft,242,25789,5,0
ft,243,25794,5,0
ft,244,25836,5,0
ft,245,25838,5,0
ft,246,25839,5,0
ft,247,25923,5,14
ft,248,26085,5,14
ft,249,26090,5,14
ft,250,26091,5,14
ft,251,26103,5,14
ft,252,26114,5,14
ft,253,26115,5,14
ft,254,26120,5,14
ft,255,26121,5,14
ft,256,26122,5,14
ft,257,26148,5,14
ft,258,26167,5,14
ft,259,26467,5,0
ft,260,26486,5,14
ft,261,26654,5,14
ft,262,26659,5,14
ft,263,26666,5,14
ft,264,26670,5,14
ft,265,26672,5,14
ft,266,26674,5,0
ft,267,26761,5,14
ft,268,26763,5,14
ft,269,26764,5,14
ft,270,26770,5,14
ft,271,26771,5,14
ft,272,26808,5,14
ft,273,27078,5,0
ft,274,27129,5,14
ft,275,27130,5,14
ft,276,27153,5,14
ft,277,27316,5,14
ft,278,27339,5,14
ft,279,27340,5,14
ft,280,27341,5,14
ft,281,27389,5,14
ft,282,27551,5,14
ft,283,27560,5,14
ft,284,27562,5,14
ft,285,27565,5,14
ft,286,27795,5,14
ft,287,27946,5,14
ft,288,28079,5,14
ft,289,28205,5,14
ft,290,28206,5,0
ft,291,28207,5,14
ft,292,28208,5,14
ft,293,28213,5,14
ft,294,28215,5,14
ft,295,28218,5,14
ft,296,28220,5,14
ft,297,28301,5,14
ft,298,28434,5,14
ft,299,28444,5,14
ft,300,28453,5,14
ft,301,28469,5,14
ft,302,28480,5,14
ft,303,28584,5,14
ft,304,28585,5,14
ft,305,28947,5,14
ft,306,28948,5,14
ft,307,28949,5,14
ft,308,28950,5,14
ft,309,28967,5,14
ft,310,29104,5,14
ft,311,29107,5,14
ft,312,29108,5,14
ft,313,29231,5,14
ft,314,29239,5,0
ft,315,29240,5,14
ft,316,29247,5,14
ft,317,29415,5,14
ft,318,29416,5,14
ft,319,29550,5,14
