Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,22796,5,14
ft,1,22797,5,14
ft,2,22798,5,14
ft,3,22799,5,14
ft,4,22800,5,14
ft,5,22801,5,14
ft,6,22802,5,14
ft,7,22803,5,14
ft,8,22804,5,14
ft,9,22818,5,14
ft,10,22819,5,14
ft,11,22820,5,14
ft,12,22825,5,14
ft,13,23246,5,0
ft,14,23263,5,14
ft,15,23264,5,14
ft,16,23269,5,14
ft,17,23270,5,14
ft,18,23271,5,14
ft,19,23272,5,14
ft,20,23273,5,14
ft,21,23274,5,14
ft,22,23275,5,14
ft,23,23647,5,14
ft,24,23648,5,14
ft,25,23651,5,14
ft,26,23652,5,14
ft,27,23653,5,14
ft,28,23655,5,14
ft,29,23657,5,14
ft,30,23658,5,14
ft,31,23692,5,14
ft,32,23693,5,14
ft,33,23694,5,14
ft,34,23698,5,14
ft,35,24108,5,14
ft,36,24109,5,14
ft,37,24112,5,14
ft,38,24113,5,14
ft,39,24114,5,14
ft,40,24115,5,14
ft,41,24117,5,14
ft,42,24122,5,14
ft,43,24166,5,14
ft,44,24167,5,14
ft,45,24168,5,14
ft,46,24171,5,14
ft,47,24172,5,14
ft,48,24173,5,14
ft,49,24174,5,14
ft,50,24175,5,0
ft,51,24176,5,14
ft,52,24178,5,14
ft,53,24179,5,14
ft,54,24180,5,14
ft,55,24181,5,14
ft,56,24182,5,14
ft,57,24183,5,14
ft,58,24184,5,14
ft,59,24185,5,14
ft,60,24186,5,14
ft,61,24187,5,14
ft,62,24188,5,14
ft,63,24189,5,14
ft,64,24298,5,14
ft,65,24381,5,14
ft,66,24383,5,14
ft,67,24384,5,14
ft,68,24385,5,14
ft,69,24390,5,14
ft,70,24393,5,14
ft,71,24394,5,0
ft,72,24395,5,14
ft,73,24458,5,14
ft,74,24459,5,14
ft,75,24460,5,14
ft,76,24461,5,14
ft,77,24464,5,14
ft,78,24465,5,14
ft,79,24466,5,14
ft,80,24467,5,14
ft,81,24578,5,14
ft,82,24579,5,14
ft,83,24761,5,0
ft,84,24791,5,14
ft,85,24793,5,14
ft,86,24796,5,14
ft,87,24801,5,14
ft,88,24802,5,14
ft,89,24803,5,14
ft,90,24804,5,14
ft,91,24894,5,14
ft,92,24895,5,14
ft,93,24897,5,14
ft,94,24908,5,14
ft,95,24945,5,14
ft,96,25151,5,14
ft,97,25153,5,14
ft,98,25156,5,0
ft,99,25157,5,14
ft,100,25158,5,14
ft,101,25159,5,14
ft,102,25160,5,14
ft,103,25163,5,0
ft,104,25192,5,14
ft,105,25193,5,14
ft,106,25194,5,14
ft,107,25195,5,14
ft,108,25196,5,14
ft,109,25198,5,14
ft,110,25201,5,14
ft,111,25205,5,14
ft,112,25607,5,14
ft,113,25611,5,14
ft,114,25649,5,14
ft,115,25650,5,14
ft,116,25651,5,14
ft,117,25652,5,14
ft,118,25655,5,14
ft,119,25656,5,14
ft,120,25673,5,14
ft,121,25674,5,14
ft,122,25762,5,14
ft,123,25918,5,14
ft,124,25919,5,14
ft,125,26059,5,14
ft,126,26060,5,14
ft,127,26061,5,14
ft,128,26062,5,14
ft,129,26064,5,14
ft,130,26066,5,14
ft,131,26067,5,14
ft,132,26348,5,14
ft,133,26349,5,14
ft,134,26350,5,14
ft,135,26351,5,14
ft,136,26352,5,14
ft,137,26353,5,14
ft,138,26588,5,14
ft,139,26592,5,14
ft,140,26594,5,14
ft,141,26603,5,14
ft,142,26607,5,14
ft,143,26610,5,14
