Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,22951,5,0
ft,1,22955,5,14
ft,2,22956,5,14
ft,3,22957,5,14
ft,4,22958,5,14
ft,5,22959,5,14
ft,6,23198,5,14
ft,7,23199,5,14
ft,8,23200,5,14
ft,9,23203,5,14
ft,10,23204,5,14
ft,11,23346,5,14
ft,12,23347,5,14
ft,13,23348,5,14
ft,14,23773,5,14
ft,15,23776,5,14
ft,16,23789,5,14
ft,17,23841,5,14
ft,18,23842,5,14
ft,19,23845,5,14
ft,20,23846,5,14
ft,21,23847,5,14
ft,22,23851,5,14
ft,23,23854,5,14
ft,24,23855,5,14
ft,25,23877,5,0
ft,26,23892,5,0
ft,27,23894,5,14
ft,28,23895,5,14
ft,29,23896,5,14
ft,30,23897,5,14
ft,31,23898,5,14
ft,32,23899,5,14
ft,33,23900,5,14
ft,34,23901,5,14
ft,35,23904,5,0
ft,36,24190,5,14
ft,37,24191,5,14
ft,38,24192,5,14
ft,39,24193,5,14
ft,40,24194,5,14
ft,41,24195,5,14
ft,42,24196,5,14
ft,43,24212,5,14
ft,44,24213,5,14
ft,45,24214,5,14
ft,46,24215,5,14
ft,47,24216,5,14
ft,48,24217,5,14
ft,49,24218,5,14
ft,50,24230,5,14
ft,51,24231,5,14
ft,52,24235,5,14
ft,53,24302,5,0
ft,54,24372,5,0
ft,55,24378,5,0
ft,56,24580,5,14
ft,57,24581,5,14
ft,58,24608,5,14
ft,59,24609,5,14
ft,60,24615,5,14
ft,61,24616,5,14
ft,62,24619,5,14
ft,63,24620,5,14
ft,64,24621,5,14
ft,65,24622,5,14
ft,66,24624,5,14
ft,67,24625,5,14
ft,68,24626,5,14
ft,69,24629,5,14
ft,70,24638,5,0
ft,71,24646,5,14
ft,72,24647,5,14
ft,73,24653,5,14
ft,74,24654,5,14
ft,75,24656,5,14
ft,76,24659,5,14
ft,77,24660,5,14
ft,78,24665,5,14
ft,79,24690,5,14
ft,80,24691,5,14
ft,81,24692,5,14
ft,82,24694,5,14
ft,83,24695,5,14
ft,84,24696,5,14
ft,85,24697,5,14
ft,86,24698,5,14
ft,87,24932,5,14
ft,88,24933,5,14
ft,89,24938,5,14
ft,90,24939,5,14
ft,91,24946,5,14
ft,92,24947,5,14
ft,93,24948,5,14
ft,94,24949,5,14
ft,95,24950,5,14
ft,96,24951,5,14
ft,97,24952,5,14
ft,98,24953,5,14
ft,99,25393,5,14
ft,100,25394,5,14
ft,101,25396,5,14
ft,102,25397,5,14
ft,103,25400,5,14
ft,104,25401,5,14
ft,105,25402,5,14
ft,106,25403,5,14
ft,107,25412,5,14
ft,108,25413,5,14
ft,109,25414,5,14
ft,110,25415,5,14
ft,111,25416,5,14
ft,112,25417,5,14
ft,113,25418,5,14
ft,114,25419,5,14
ft,115,25421,5,14
ft,116,25431,5,14
ft,117,25434,5,111
ft,118,25439,5,111
ft,119,25440,5,111
ft,120,25444,5,14
ft,121,25445,5,14
ft,122,25458,5,14
ft,123,25459,5,14
ft,124,25460,5,14
ft,125,25461,5,14
ft,126,25516,5,0
ft,127,25538,5,14
ft,128,25539,5,14
ft,129,25565,5,14
ft,130,25566,5,14
ft,131,25567,5,14
ft,132,25568,5,14
ft,133,25569,5,14
ft,134,25570,5,14
ft,135,25573,5,0
ft,136,25922,5,14
ft,137,25934,5,14
ft,138,25935,5,14
ft,139,25946,5,14
ft,140,25973,5,14
ft,141,25974,5,14
ft,142,25975,5,14
ft,143,25981,5,14
ft,144,25983,5,14
ft,145,25984,5,14
ft,146,25985,5,14
ft,147,25986,5,14
ft,148,26012,5,14
ft,149,26013,5,14
ft,150,26016,5,14
ft,151,26017,5,14
ft,152,26149,5,14
ft,153,26150,5,14
ft,154,26153,5,14
ft,155,26163,5,14
ft,156,26175,5,14
ft,157,26178,5,111
ft,158,26191,5,111
ft,159,26195,5,111
ft,160,26220,5,14
ft,161,26221,5,14
ft,162,26246,5,0
ft,163,26248,5,0
ft,164,26490,5,14
ft,165,26533,5,14
ft,166,26534,5,14
ft,167,26535,5,14
ft,168,26537,5,0
ft,169,26559,5,14
ft,170,26560,5,14
ft,171,26561,5,14
ft,172,26562,5,14
ft,173,26563,5,14
ft,174,26564,5,14
ft,175,26575,5,14
ft,176,26576,5,14
ft,177,26817,5,14
ft,178,26820,5,0
ft,179,26824,5,14
ft,180,26835,5,14
ft,181,26842,5,14
ft,182,26947,5,14
ft,183,26948,5,14
ft,184,26949,5,14
ft,185,26979,5,14
ft,186,27067,5,0
ft,187,27070,5,0
ft,188,27071,5,0
ft,189,27157,5,14
ft,190,27158,5,14
ft,191,27203,5,14
ft,192,27210,5,14
ft,193,27245,5,14
ft,194,27308,5,111
ft,195,27310,5,111
ft,196,27314,5,14
ft,197,27315,5,14
ft,198,27392,5,111
ft,199,27395,5,0
ft,200,27396,5,111
ft,201,27407,5,111
ft,202,27423,5,111
ft,203,27427,5,111
ft,204,27770,5,111
ft,205,27776,5,0
ft,206,27782,5,111
ft,207,27786,5,111
ft,208,27791,5,0
ft,209,27793,5,111
ft,210,27794,5,111
ft,211,27800,5,14
ft,212,27949,5,0
ft,213,27959,5,0
ft,214,28024,5,14
ft,215,28029,5,14
ft,216,28152,5,111
ft,217,28153,5,111
ft,218,28191,5,0
ft,219,28198,5,0
ft,220,28304,5,111
ft,221,28396,5,14
ft,222,28427,5,14
ft,223,28447,5,14
ft,224,28491,5,111
ft,225,28492,5,111
ft,226,28515,5,111
ft,227,28522,5,111
ft,228,28533,5,14
ft,229,28597,5,111
ft,230,28599,5,0
ft,231,28608,5,111
ft,232,28611,5,0
ft,233,28619,5,111
ft,234,28622,5,111
ft,235,28624,5,0
ft,236,28671,5,14
ft,237,28682,5,0
ft,238,28787,5,14
ft,239,28788,5,14
ft,240,29122,5,14
ft,241,29144,5,111
ft,242,29145,5,14
ft,243,29146,5,111
ft,244,29147,5,111
ft,245,29148,5,111
ft,246,29152,5,111
ft,247,29156,5,111
ft,248,29157,5,111
ft,249,29161,5,111
ft,250,29236,5,14
ft,251,29303,5,111
ft,252,29313,5,111
ft,253,29449,5,14
ft,254,29460,5,14
ft,255,29467,5,14
ft,256,29468,5,14
ft,257,29565,5,111
ft,258,29730,5,14
ft,259,29734,5,14
ft,260,29735,5,14
ft,261,29738,5,111
ft,262,29748,5,14
ft,263,29751,5,14
ft,264,29992,5,14
ft,265,29993,5,14
ft,266,30108,5,14
ft,267,30119,5,14
ft,268,30120,5,14
ft,269,30122,5,0
ft,270,30128,5,14
ft,271,30131,5,14
ft,272,30137,5,14
ft,273,30139,5,0
ft,274,30146,5,14
ft,275,30147,5,0
ft,276,30148,5,14
ft,277,30181,5,14
ft,278,30184,5,14
ft,279,30185,5,14
ft,280,30191,5,14
ft,281,30195,5,0
ft,282,30416,5,14
ft,283,30417,5,14
ft,284,30418,5,14
ft,285,30419,5,14
ft,286,30490,5,14
ft,287,30532,5,14
ft,288,30533,5,14
ft,289,30575,5,14
ft,290,30576,5,14
ft,291,30577,5,14
ft,292,30580,5,14
ft,293,30586,5,14
ft,294,30591,5,14
ft,295,30593,5,14
ft,296,30615,5,14
ft,297,30628,5,14
ft,298,30630,5,0
ft,299,30640,5,14
ft,300,30643,5,0
ft,301,30644,5,14
ft,302,30650,5,0
ft,303,30651,5,14
ft,304,30652,5,0
ft,305,30735,5,14
ft,306,30770,5,14
ft,307,30771,5,14
ft,308,30851,5,14
ft,309,30916,5,14
ft,310,30931,5,14
ft,311,30933,5,14
ft,312,30943,5,14
ft,313,30955,5,14
ft,314,31230,5,14
ft,315,31233,5,14
ft,316,31234,5,14
ft,317,31235,5,14
ft,318,31239,5,14
ft,319,31240,5,14
ft,320,31391,5,14
ft,321,31399,5,14
ft,322,31409,5,14
ft,323,31410,5,14
ft,324,31412,5,14
ft,325,31415,5,14
ft,326,31423,5,14
ft,327,31436,5,14
ft,328,31472,5,0
ft,329,31615,5,14
ft,330,31675,5,14
ft,331,31682,5,14
ft,332,31685,5,14
ft,333,31689,5,14
ft,334,31698,5,14
ft,335,31703,5,14
ft,336,31704,5,14
ft,337,32017,5,14
ft,338,32018,5,14
ft,339,32023,5,14
ft,340,32024,5,14
ft,341,32025,5,14
ft,342,32026,5,14
ft,343,32038,5,14
ft,344,32120,5,14
ft,345,32145,5,14
ft,346,32152,5,14
ft,347,32173,5,14
ft,348,32275,5,14
ft,349,32281,5,0
ft,350,32282,5,14
ft,351,32284,5,14
ft,352,32287,5,14
ft,353,32288,5,14
ft,354,32290,5,14
ft,355,32291,5,14
ft,356,32294,5,0
ft,357,32297,5,14
ft,358,32298,5,14
ft,359,32360,5,14
ft,360,32365,5,14
ft,361,32418,5,14
ft,362,32419,5,14
ft,363,32513,5,0
ft,364,32592,5,14
ft,365,32595,5,14
ft,366,32596,5,14
ft,367,32724,5,14
ft,368,32728,5,14
ft,369,32737,5,14
ft,370,32745,5,14
ft,371,32747,5,14
ft,372,32752,5,14
ft,373,32753,5,14
ft,374,32906,5,14
ft,375,32975,5,14
ft,376,32978,5,14
ft,377,32979,5,14
ft,378,32980,5,14
ft,379,33008,5,14
ft,380,33009,5,14
ft,381,33010,5,14
ft,382,33011,5,14
ft,383,33064,5,0
ft,384,33164,5,14
ft,385,33167,5,14
ft,386,33174,5,14
ft,387,33176,5,14
ft,388,33199,5,14
ft,389,33200,5,14
ft,390,33285,5,14
ft,391,33286,5,14
ft,392,33287,5,14
ft,393,33349,5,14
ft,394,33350,5,14
ft,395,33351,5,14
ft,396,33393,5,0
ft,397,33412,5,14
ft,398,33416,5,14
ft,399,33417,5,14
ft,400,33418,5,14
ft,401,33492,5,14
ft,402,33671,5,14
ft,403,33742,5,14
ft,404,33861,5,14
ft,405,33881,5,14
ft,406,33882,5,14
ft,407,33883,5,14
ft,408,33884,5,14
ft,409,34030,5,0
ft,410,34045,5,14
ft,411,34046,5,14
ft,412,34049,5,14
ft,413,34050,5,14
ft,414,34117,5,0
ft,415,34118,5,14
ft,416,34125,5,0
ft,417,34138,5,0
ft,418,34192,5,14
ft,419,34193,5,14
ft,420,34196,5,14
ft,421,34201,5,14
ft,422,34202,5,14
ft,423,34295,5,14
ft,424,34296,5,14
ft,425,34777,5,0
ft,426,34778,5,0
ft,427,34780,5,14
ft,428,34785,5,0
ft,429,34790,5,0
ft,430,34791,5,14
ft,431,34794,5,14
ft,432,34796,5,0
ft,433,34797,5,14
ft,434,34802,5,14
ft,435,34814,5,0
ft,436,34818,5,14
ft,437,34824,5,14
ft,438,34826,5,14
ft,439,34839,5,14
ft,440,34876,5,14
ft,441,35593,5,14
ft,442,35594,5,14
ft,443,36987,5,14
ft,444,37016,5,0
ft,445,37052,5,14
ft,446,37376,5,14
ft,447,37422,5,14
ft,448,37428,5,14
ft,449,37896,5,14
ft,450,37897,5,14
ft,451,38335,5,14
ft,452,38336,5,14
ft,453,38337,5,14
ft,454,38361,5,14
ft,455,38371,5,14
ft,456,38375,5,14
ft,457,38388,5,14
ft,458,38689,5,14
ft,459,38690,5,14
