Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,43505,5,17
ft,1,43510,5,17
ft,2,43511,5,17
ft,3,44091,5,17
ft,4,44093,5,17
ft,5,44094,5,17
ft,6,44095,5,17
ft,7,45118,5,17
ft,8,45119,5,17
ft,9,45120,5,17
ft,10,45122,5,17
ft,11,45125,5,17
ft,12,45126,5,17
ft,13,45127,5,17
ft,14,45128,5,17
ft,15,45129,5,17
ft,16,45155,5,17
ft,17,45156,5,17
ft,18,45157,5,17
ft,19,45158,5,17
ft,20,45159,5,17
ft,21,45160,5,17
ft,22,45161,5,17
ft,23,45162,5,17
ft,24,45163,5,17
ft,25,45164,5,17
ft,26,45215,5,17
ft,27,45607,5,17
ft,28,45670,5,0
ft,29,45672,5,17
ft,30,45673,5,17
ft,31,45675,5,17
ft,32,45681,5,17
ft,33,45682,5,17
ft,34,45687,5,17
ft,35,45689,5,17
ft,36,45690,5,17
ft,37,45887,5,17
ft,38,45892,5,17
ft,39,45893,5,17
ft,40,46335,5,17
ft,41,46336,5,17
ft,42,46349,5,17
ft,43,46352,5,17
ft,44,46372,5,17
ft,45,46373,5,17
ft,46,46377,5,17
ft,47,46378,5,17
ft,48,46514,5,17
ft,49,46515,5,17
ft,50,46516,5,17
ft,51,46517,5,17
ft,52,46518,5,17
ft,53,46523,5,17
ft,54,46526,5,17
ft,55,46529,5,17
ft,56,46532,5,17
ft,57,46829,5,17
ft,58,46832,5,17
ft,59,46840,5,17
ft,60,47015,5,17
ft,61,47016,5,17
ft,62,47017,5,17
ft,63,47094,5,17
ft,64,47095,5,17
ft,65,47117,5,17
ft,66,47491,5,17
ft,67,47493,5,17
ft,68,47505,5,17
ft,69,47506,5,17
ft,70,47534,5,0
ft,71,47562,5,17
ft,72,47563,5,17
ft,73,47568,5,17
ft,74,47570,5,17
ft,75,47580,5,17
ft,76,47584,5,17
ft,77,47585,5,17
ft,78,47606,5,17
ft,79,47607,5,17
ft,80,47608,5,17
ft,81,47609,5,17
ft,82,47612,5,17
ft,83,47623,5,17
ft,84,47628,5,17
ft,85,47629,5,0
ft,86,48063,5,17
ft,87,48064,5,17
ft,88,48303,5,17
ft,89,48965,5,17
ft,90,49273,5,17
ft,91,49274,5,17
ft,92,49275,5,17
ft,93,49276,5,17
ft,94,49277,5,17
ft,95,49278,5,17
ft,96,49279,5,17
ft,97,49334,5,17
ft,98,49335,5,17
ft,99,49339,5,17
ft,100,49340,5,17
ft,101,49400,5,17
ft,102,49401,5,17
ft,103,49402,5,17
ft,104,49439,5,17
ft,105,49445,5,17
ft,106,49883,5,17
ft,107,49885,5,17
ft,108,50018,5,17
ft,109,50019,5,17
ft,110,50026,5,17
ft,111,50027,5,17
ft,112,50029,5,17
ft,113,50030,5,17
ft,114,50033,5,17
ft,115,50076,5,17
ft,116,50128,5,17
ft,117,50129,5,17
ft,118,50132,5,17
ft,119,50139,5,17
ft,120,50147,5,17
ft,121,50149,5,17
ft,122,50150,5,17
ft,123,50164,5,17
ft,124,50165,5,17
ft,125,50166,5,17
ft,126,50167,5,17
ft,127,50709,5,17
ft,128,50710,5,17
ft,129,50713,5,17
ft,130,50723,5,17
ft,131,50731,5,17
ft,132,50735,5,17
ft,133,50876,5,17
ft,134,50881,5,17
ft,135,50882,5,17
ft,136,50884,5,17
ft,137,50885,5,17
ft,138,50887,5,17
ft,139,50888,5,17
ft,140,50963,5,17
ft,141,50964,5,17
ft,142,50965,5,17
ft,143,50966,5,17
ft,144,51093,5,17
ft,145,51525,5,17
ft,146,51526,5,17
ft,147,51639,5,17
ft,148,51654,5,17
ft,149,51656,5,17
ft,150,51663,5,17
ft,151,52053,5,17
ft,152,52055,5,17
ft,153,52072,5,17
ft,154,52073,5,17
ft,155,52078,5,17
ft,156,52080,5,17
ft,157,52083,5,17
ft,158,52104,5,17
ft,159,52105,5,17
ft,160,52106,5,17
ft,161,52252,5,17
ft,162,52253,5,17
ft,163,52254,5,17
ft,164,52255,5,17
ft,165,52256,5,17
ft,166,52893,5,17
ft,167,52894,5,17
ft,168,52940,5,17
ft,169,52942,5,17
ft,170,52948,5,17
ft,171,52959,5,17
ft,172,52965,5,17
ft,173,52968,5,17
ft,174,52971,5,0
ft,175,53132,5,17
ft,176,53136,5,17
ft,177,53137,5,17
ft,178,53159,5,17
ft,179,53169,5,17
ft,180,53172,5,17
ft,181,53173,5,17
ft,182,53174,5,17
ft,183,53193,5,17
ft,184,53194,5,17
ft,185,53195,5,17
ft,186,53197,5,17
ft,187,53199,5,17
ft,188,53207,5,17
ft,189,53208,5,17
ft,190,53209,5,17
ft,191,53210,5,17
