Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,46147,5,17
ft,1,46148,5,17
ft,2,46150,5,17
ft,3,47254,5,17
ft,4,47255,5,17
ft,5,47259,5,17
ft,6,47260,5,17
ft,7,47261,5,17
ft,8,47262,5,17
ft,9,47263,5,17
ft,10,47278,5,17
ft,11,47279,5,17
ft,12,47280,5,17
ft,13,47281,5,17
ft,14,47700,5,17
ft,15,47702,5,17
ft,16,47768,5,17
ft,17,47774,5,17
ft,18,47775,5,17
ft,19,47776,5,17
ft,20,47779,5,17
ft,21,47780,5,17
ft,22,47781,5,17
ft,23,47782,5,17
ft,24,47783,5,17
ft,25,48336,5,17
ft,26,48337,5,17
ft,27,48345,5,17
ft,28,48350,5,17
ft,29,48352,5,17
ft,30,48355,5,17
ft,31,48356,5,17
ft,32,48357,5,17
ft,33,48368,5,17
ft,34,48369,5,17
ft,35,48370,5,17
ft,36,48376,5,17
ft,37,48377,5,17
ft,38,48378,5,17
ft,39,48379,5,17
ft,40,48380,5,17
ft,41,48381,5,17
ft,42,48382,5,17
ft,43,48390,5,17
ft,44,48398,5,17
ft,45,48401,5,17
ft,46,48409,5,17
ft,47,49042,5,0
ft,48,49065,5,17
ft,49,49066,5,17
ft,50,49682,5,17
ft,51,49685,5,17
ft,52,49686,5,17
ft,53,49687,5,17
ft,54,49690,5,17
ft,55,49693,5,0
ft,56,49694,5,17
ft,57,49695,5,17
ft,58,49696,5,17
ft,59,49697,5,17
ft,60,49698,5,17
ft,61,49699,5,17
ft,62,49700,5,17
ft,63,49705,5,17
ft,64,49710,5,17
ft,65,49713,5,17
ft,66,49714,5,17
ft,67,49716,5,17
ft,68,49721,5,17
ft,69,49751,5,17
ft,70,49766,5,17
ft,71,49773,5,17
ft,72,49774,5,17
ft,73,49775,5,17
ft,74,49776,5,17
ft,75,49777,5,17
ft,76,49778,5,17
ft,77,50292,5,17
ft,78,50293,5,17
ft,79,50302,5,0
ft,80,50328,5,17
ft,81,50329,5,17
ft,82,50340,5,17
ft,83,50341,5,17
ft,84,50342,5,17
ft,85,50464,5,17
ft,86,50466,5,17
ft,87,50467,5,17
ft,88,50472,5,0
ft,89,50479,5,17
ft,90,50481,5,17
ft,91,50482,5,17
ft,92,50483,5,17
ft,93,51104,5,17
ft,94,51106,5,17
ft,95,51107,5,17
ft,96,51114,5,17
ft,97,51117,5,17
ft,98,51118,5,17
ft,99,51249,5,0
ft,100,51258,5,17
ft,101,51259,5,17
ft,102,51263,5,17
ft,103,51264,5,17
ft,104,51266,5,17
ft,105,51268,5,17
ft,106,51269,5,17
ft,107,51270,5,17
ft,108,51271,5,17
ft,109,51272,5,17
ft,110,51273,5,17
ft,111,51274,5,17
ft,112,51305,5,17
ft,113,51307,5,17
ft,114,51309,5,17
ft,115,51316,5,0
ft,116,51317,5,17
ft,117,51318,5,17
