Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,194,5,13
ft,1,195,5,13
ft,2,230,5,13
ft,3,237,5,13
ft,4,272,5,13
ft,5,275,5,13
ft,6,277,5,13
ft,7,290,5,13
ft,8,306,5,13
ft,9,313,5,13
ft,10,316,5,13
ft,11,325,5,13
ft,12,328,5,13
ft,13,356,5,13
ft,14,366,5,13
ft,15,368,5,13
ft,16,383,5,13
ft,17,386,5,13
ft,18,403,5,13
ft,19,433,5,13
ft,20,435,5,13
ft,21,443,5,13
ft,22,448,5,13
ft,23,451,5,13
ft,24,454,5,13
ft,25,458,5,13
ft,26,482,5,13
ft,27,487,5,13
ft,28,494,5,13
ft,29,495,5,13
ft,30,496,5,13
ft,31,520,5,13
ft,32,555,5,13
ft,33,556,5,13
ft,34,581,5,18
ft,35,583,5,18
ft,36,584,5,18
ft,37,585,5,18
ft,38,603,5,18
ft,39,604,5,18
ft,40,606,5,18
ft,41,614,5,18
ft,42,615,5,18
ft,43,632,5,18
ft,44,640,5,18
ft,45,669,5,18
ft,46,673,5,18
ft,47,765,5,18
ft,48,766,5,18
ft,49,837,5,18
ft,50,838,5,18
