Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,1387,5,13
ft,1,1391,5,13
ft,2,1394,5,13
ft,3,1490,5,13
ft,4,1513,5,13
ft,5,1566,5,13
ft,6,1574,5,0
ft,7,1580,5,13
ft,8,1582,5,13
ft,9,1782,5,13
ft,10,1783,5,13
ft,11,1784,5,13
ft,12,1847,5,0
ft,13,1880,5,13
ft,14,1881,5,13
ft,15,1883,5,13
ft,16,1887,5,13
ft,17,1888,5,13
ft,18,1890,5,13
ft,19,1898,5,13
ft,20,1901,5,13
ft,21,1904,5,13
ft,22,1918,5,13
ft,23,1958,5,13
ft,24,1960,5,13
ft,25,1965,5,13
ft,26,2060,5,13
ft,27,2142,5,13
ft,28,2143,5,13
ft,29,2144,5,13
ft,30,2153,5,13
ft,31,2156,5,13
ft,32,2163,5,13
ft,33,2166,5,13
ft,34,2167,5,13
ft,35,2185,5,13
ft,36,2186,5,13
ft,37,2189,5,0
ft,38,2210,5,13
ft,39,2216,5,13
ft,40,2221,5,13
ft,41,2282,5,13
ft,42,2339,5,13
ft,43,2341,5,13
ft,44,2350,5,13
ft,45,2351,5,13
ft,46,2427,5,13
ft,47,2529,5,13
ft,48,2535,5,13
ft,49,2559,5,13
ft,50,2560,5,13
ft,51,2561,5,13
ft,52,2562,5,13
ft,53,2583,5,13
ft,54,2584,5,13
ft,55,2585,5,13
ft,56,2586,5,13
ft,57,2595,5,13
ft,58,2597,5,13
ft,59,2598,5,0
ft,60,2617,5,13
ft,61,2621,5,13
ft,62,2631,5,13
ft,63,2632,5,13
ft,64,2689,5,13
ft,65,2696,5,13
ft,66,2699,5,13
ft,67,2766,5,13
ft,68,2770,5,13
ft,69,2778,5,13
ft,70,2779,5,13
ft,71,2813,5,13
ft,72,2818,5,13
ft,73,2819,5,13
ft,74,2820,5,13
ft,75,2984,5,0
ft,76,3007,5,13
ft,77,3008,5,13
ft,78,3009,5,13
ft,79,3010,5,13
ft,80,3011,5,13
ft,81,3012,5,13
ft,82,3013,5,13
ft,83,3026,5,13
ft,84,3027,5,13
ft,85,3028,5,13
ft,86,3052,5,13
ft,87,3055,5,13
ft,88,3072,5,13
ft,89,3075,5,13
ft,90,3094,5,13
ft,91,3103,5,13
ft,92,3105,5,13
ft,93,3127,5,0
ft,94,3128,5,13
ft,95,3133,5,13
ft,96,3134,5,13
ft,97,3138,5,13
ft,98,3144,5,13
ft,99,3149,5,13
ft,100,3155,5,13
ft,101,3166,5,13
ft,102,3167,5,13
ft,103,3261,5,13
ft,104,3281,5,13
ft,105,3325,5,0
ft,106,3400,5,13
ft,107,3405,5,13
ft,108,3429,5,13
ft,109,3430,5,13
ft,110,3431,5,13
ft,111,3456,5,13
ft,112,3458,5,13
ft,113,3472,5,13
ft,114,3475,5,13
ft,115,3476,5,13
ft,116,3486,5,13
ft,117,3489,5,13
ft,118,3496,5,13
ft,119,3498,5,13
ft,120,3505,5,13
ft,121,3518,5,13
ft,122,3519,5,13
ft,123,3521,5,13
ft,124,3648,5,13
ft,125,3733,5,13
ft,126,3745,5,13
ft,127,3787,5,13
ft,128,3788,5,13
ft,129,3792,5,18
ft,130,3794,5,18
ft,131,3795,5,18
ft,132,3797,5,13
ft,133,3798,5,13
ft,134,3816,5,13
ft,135,3831,5,13
ft,136,3832,5,13
ft,137,3844,5,13
ft,138,3845,5,13
ft,139,3892,5,18
ft,140,3893,5,18
ft,141,3894,5,18
ft,142,3938,5,13
ft,143,3994,5,18
ft,144,3997,5,18
ft,145,4000,5,18
ft,146,4002,5,18
ft,147,4079,5,13
ft,148,4080,5,13
ft,149,4081,5,13
ft,150,4086,5,13
ft,151,4087,5,13
ft,152,4117,5,18
ft,153,4123,5,18
ft,154,4126,5,18
ft,155,4251,5,18
ft,156,4253,5,18
ft,157,4256,5,18
ft,158,4283,5,18
ft,159,4291,5,18
ft,160,4293,5,18
ft,161,4294,5,18
ft,162,4330,5,13
ft,163,4336,5,13
ft,164,4337,5,13
ft,165,4338,5,13
ft,166,4492,5,13
ft,167,4496,5,13
ft,168,4505,5,18
ft,169,4509,5,18
ft,170,4516,5,18
ft,171,4517,5,18
ft,172,4561,5,18
ft,173,4563,5,18
ft,174,4569,5,18
ft,175,4570,5,18
ft,176,4623,5,18
ft,177,4631,5,18
ft,178,4635,5,18
ft,179,4645,5,18
ft,180,4894,5,18
ft,181,4897,5,18
ft,182,4944,5,18
ft,183,4968,5,18
ft,184,5172,5,18
ft,185,5173,5,18
ft,186,5174,5,18
ft,187,5175,5,18
ft,188,5293,5,18
ft,189,5295,5,18
ft,190,5296,5,18
ft,191,5321,5,18
ft,192,5322,5,18
ft,193,5323,5,18
ft,194,5374,5,18
ft,195,5375,5,18
ft,196,5376,5,18
ft,197,5377,5,18
ft,198,5378,5,18
ft,199,5640,5,18
ft,200,5658,5,18
ft,201,5663,5,18
ft,202,5665,5,18
ft,203,5666,5,18
ft,204,5667,5,18
ft,205,6012,5,18
ft,206,6046,5,18
ft,207,6047,5,18
ft,208,6048,5,18
ft,209,6049,5,18
ft,210,6250,5,18
ft,211,6625,5,18
ft,212,6629,5,18
ft,213,6961,5,18
ft,214,6966,5,18
ft,215,7871,5,18
