Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,50393,5,17
ft,1,50394,5,17
ft,2,50400,5,17
ft,3,50403,5,17
ft,4,50404,5,17
ft,5,50409,5,17
ft,6,50410,5,17
ft,7,50411,5,17
ft,8,50752,5,110
ft,9,50753,5,110
ft,10,50754,5,17
ft,11,50755,5,17
ft,12,50756,5,110
ft,13,50757,5,17
ft,14,50758,5,17
ft,15,50759,5,17
ft,16,50920,5,17
ft,17,50921,5,17
ft,18,50923,5,17
ft,19,50931,5,110
ft,20,50932,5,110
ft,21,50940,5,17
ft,22,50942,5,17
ft,23,50943,5,17
ft,24,50944,5,17
ft,25,50948,5,17
ft,26,50949,5,17
ft,27,50950,5,17
ft,28,50951,5,17
ft,29,50952,5,17
ft,30,50953,5,17
ft,31,50954,5,17
ft,32,50955,5,17
ft,33,51012,5,17
ft,34,51013,5,17
ft,35,51015,5,17
ft,36,51019,5,17
ft,37,51031,5,17
ft,38,51032,5,17
ft,39,51036,5,17
ft,40,51038,5,17
ft,41,51201,5,17
ft,42,51202,5,17
ft,43,51209,5,17
ft,44,51217,5,17
ft,45,51219,5,17
ft,46,51224,5,17
ft,47,51228,5,17
ft,48,51230,5,17
ft,49,51341,5,17
ft,50,51342,5,17
ft,51,51343,5,17
ft,52,51344,5,17
ft,53,51529,5,110
ft,54,51530,5,110
ft,55,51534,5,110
ft,56,51535,5,110
ft,57,51538,5,110
ft,58,51539,5,110
ft,59,51540,5,110
ft,60,51636,5,17
ft,61,51637,5,17
ft,62,51667,5,17
ft,63,51668,5,17
ft,64,51724,5,17
ft,65,51736,5,17
ft,66,51737,5,17
ft,67,51738,5,17
ft,68,51739,5,17
ft,69,51740,5,17
ft,70,51908,5,17
ft,71,51909,5,17
ft,72,51912,5,17
ft,73,51915,5,17
ft,74,51919,5,17
ft,75,51929,5,17
ft,76,51931,5,17
ft,77,51932,5,17
ft,78,51934,5,17
ft,79,52097,5,110
ft,80,52098,5,17
ft,81,52100,5,110
ft,82,52101,5,110
ft,83,52102,5,17
ft,84,52103,5,17
ft,85,52124,5,17
ft,86,52125,5,17
ft,87,52564,5,17
ft,88,52565,5,17
ft,89,52566,5,17
