Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,23101,5,0
ft,1,25434,5,14
ft,2,25439,5,14
ft,3,25440,5,14
ft,4,26095,5,0
ft,5,26178,5,14
ft,6,26191,5,14
ft,7,26195,5,14
ft,8,26396,5,0
ft,9,26649,5,111
ft,10,26650,5,111
ft,11,26667,5,0
ft,12,27303,5,111
ft,13,27305,5,111
ft,14,27308,5,14
ft,15,27310,5,14
ft,16,27392,5,14
ft,17,27395,5,0
ft,18,27396,5,14
ft,19,27397,5,0
ft,20,27407,5,14
ft,21,27423,5,14
ft,22,27427,5,14
ft,23,27513,5,111
ft,24,27514,5,0
ft,25,27517,5,111
ft,26,27522,5,111
ft,27,27535,5,111
ft,28,27539,5,0
ft,29,27541,5,0
ft,30,27543,5,111
ft,31,27547,5,111
ft,32,27770,5,14
ft,33,27782,5,14
ft,34,27783,5,0
ft,35,27786,5,14
ft,36,27793,5,14
ft,37,27794,5,14
ft,38,27796,5,111
ft,39,27972,5,111
ft,40,27988,5,111
ft,41,28088,5,0
ft,42,28152,5,14
ft,43,28153,5,14
ft,44,28175,5,0
ft,45,28304,5,14
ft,46,28322,5,0
ft,47,28450,5,0
ft,48,28451,5,111
ft,49,28470,5,111
ft,50,28491,5,14
ft,51,28492,5,14
ft,52,28515,5,14
ft,53,28522,5,14
ft,54,28527,5,111
ft,55,28597,5,14
ft,56,28606,5,0
ft,57,28608,5,14
ft,58,28619,5,14
ft,59,28621,5,0
ft,60,28622,5,14
ft,61,28627,5,0
ft,62,28636,5,0
ft,63,28745,5,111
ft,64,28746,5,111
ft,65,28747,5,111
ft,66,28772,5,111
ft,67,28779,5,0
ft,68,28824,5,0
ft,69,28881,5,111
ft,70,28988,5,111
ft,71,28994,5,111
ft,72,29006,5,0
ft,73,29007,5,111
ft,74,29013,5,111
ft,75,29028,5,111
ft,76,29029,5,111
ft,77,29030,5,111
ft,78,29109,5,111
ft,79,29110,5,111
ft,80,29142,5,111
ft,81,29143,5,111
ft,82,29144,5,14
ft,83,29146,5,14
ft,84,29147,5,14
ft,85,29148,5,14
ft,86,29152,5,14
ft,87,29156,5,14
ft,88,29157,5,14
ft,89,29161,5,14
ft,90,29169,5,0
ft,91,29303,5,14
ft,92,29313,5,14
ft,93,29414,5,111
ft,94,29424,5,0
ft,95,29448,5,0
ft,96,29472,5,0
ft,97,29483,5,0
ft,98,29484,5,0
ft,99,29524,5,111
ft,100,29528,5,0
ft,101,29544,5,0
ft,102,29548,5,111
ft,103,29565,5,14
ft,104,29703,5,111
ft,105,29738,5,14
ft,106,29753,5,0
ft,107,29941,5,0
ft,108,30060,5,0
ft,109,30087,5,0
ft,110,30089,5,0
ft,111,30091,5,0
ft,112,30139,5,0
ft,113,30147,5,0
ft,114,30363,5,0
ft,115,30493,5,0
ft,116,30715,5,0
ft,117,31523,5,0
ft,118,31963,5,0
