Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,25434,5,111
ft,1,25439,5,111
ft,2,25440,5,111
ft,3,26178,5,111
ft,4,26191,5,111
ft,5,26195,5,111
ft,6,27308,5,111
ft,7,27310,5,111
ft,8,27392,5,111
ft,9,27396,5,111
ft,10,27407,5,111
ft,11,27423,5,111
ft,12,27427,5,111
ft,13,27770,5,111
ft,14,27782,5,111
ft,15,27786,5,111
ft,16,27793,5,111
ft,17,27794,5,111
ft,18,28152,5,111
ft,19,28153,5,111
ft,20,28304,5,111
ft,21,28491,5,111
ft,22,28492,5,111
ft,23,28515,5,111
ft,24,28522,5,111
ft,25,28597,5,111
ft,26,28608,5,111
ft,27,28619,5,111
ft,28,28622,5,111
ft,29,29144,5,111
ft,30,29146,5,111
ft,31,29147,5,111
ft,32,29148,5,111
ft,33,29152,5,111
ft,34,29156,5,111
ft,35,29157,5,111
ft,36,29161,5,111
ft,37,29303,5,111
ft,38,29313,5,111
ft,39,29565,5,111
ft,40,29738,5,111
