Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,20033,5,14
ft,1,20035,5,14
ft,2,20039,5,14
ft,3,20235,5,14
ft,4,20247,5,14
ft,5,20258,5,14
ft,6,20263,5,14
ft,7,20393,5,14
ft,8,20401,5,14
ft,9,20410,5,14
ft,10,20417,5,14
ft,11,20419,5,14
ft,12,20428,5,14
ft,13,20430,5,14
ft,14,20439,5,14
ft,15,20448,5,14
ft,16,20449,5,14
ft,17,20450,5,14
ft,18,20474,5,14
ft,19,20486,5,14
ft,20,20494,5,14
ft,21,20506,5,14
ft,22,20513,5,14
ft,23,20527,5,14
ft,24,20532,5,14
ft,25,20537,5,14
ft,26,20538,5,14
ft,27,20666,5,14
ft,28,20671,5,14
ft,29,20673,5,14
ft,30,20675,5,14
ft,31,20679,5,14
ft,32,20680,5,14
ft,33,20709,5,14
ft,34,20720,5,14
ft,35,20729,5,14
ft,36,20734,5,14
ft,37,20743,5,14
ft,38,20746,5,14
ft,39,20749,5,14
ft,40,20751,5,0
ft,41,20777,5,14
ft,42,20778,5,14
ft,43,20779,5,14
ft,44,20814,5,14
ft,45,20818,5,14
ft,46,20820,5,0
ft,47,20826,5,14
ft,48,20827,5,14
ft,49,20830,5,14
ft,50,20834,5,14
ft,51,20926,5,14
ft,52,20931,5,14
ft,53,20932,5,14
ft,54,20933,5,14
ft,55,20943,5,14
ft,56,20947,5,0
ft,57,20949,5,14
ft,58,20958,5,14
ft,59,20963,5,14
ft,60,20965,5,14
ft,61,20973,5,14
ft,62,20981,5,14
ft,63,20990,5,14
ft,64,20993,5,14
ft,65,20994,5,14
ft,66,21006,5,14
ft,67,21008,5,14
ft,68,21009,5,14
ft,69,21011,5,14
ft,70,21013,5,14
ft,71,21017,5,14
ft,72,21018,5,14
ft,73,21026,5,14
ft,74,21027,5,14
ft,75,21030,5,14
ft,76,21045,5,0
ft,77,21093,5,14
ft,78,21114,5,14
ft,79,21117,5,14
ft,80,21124,5,14
ft,81,21125,5,14
ft,82,21126,5,14
ft,83,21128,5,0
ft,84,21133,5,14
ft,85,21139,5,14
ft,86,21141,5,14
ft,87,21165,5,14
ft,88,21168,5,14
ft,89,21213,5,0
ft,90,21235,5,14
ft,91,21236,5,14
ft,92,21266,5,0
ft,93,21275,5,14
ft,94,21277,5,0
ft,95,21278,5,14
ft,96,21279,5,14
ft,97,21280,5,14
ft,98,21321,5,0
ft,99,21341,5,14
ft,100,21350,5,14
ft,101,21351,5,14
ft,102,21352,5,14
ft,103,21353,5,0
ft,104,21356,5,14
ft,105,21357,5,14
ft,106,21394,5,14
ft,107,21395,5,14
ft,108,21396,5,14
ft,109,21466,5,14
ft,110,21471,5,14
ft,111,21746,5,0
ft,112,21770,5,14
ft,113,21771,5,14
ft,114,21772,5,14
ft,115,21773,5,0
ft,116,21774,5,14
ft,117,21775,5,14
ft,118,21809,5,14
ft,119,21810,5,14
ft,120,21811,5,14
ft,121,21830,5,14
ft,122,21916,5,14
ft,123,21917,5,14
ft,124,21918,5,14
ft,125,21919,5,14
ft,126,21982,5,14
ft,127,21983,5,14
ft,128,21984,5,14
ft,129,21985,5,14
ft,130,22055,5,14
ft,131,22057,5,14
ft,132,22062,5,14
ft,133,22063,5,14
ft,134,22064,5,14
ft,135,22065,5,14
ft,136,22134,5,14
ft,137,22144,5,14
ft,138,22206,5,14
ft,139,22321,5,14
ft,140,49016,5,112
ft,141,49708,5,112
ft,142,49717,5,112
ft,143,50472,5,112
ft,144,50473,5,112
ft,145,52654,5,112
ft,146,53419,5,112
ft,147,53420,5,112
