Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,39992,5,17
ft,1,39996,5,17
ft,2,40000,5,17
ft,3,40432,5,17
ft,4,40433,5,17
ft,5,40434,5,17
ft,6,40435,5,17
ft,7,40599,5,17
ft,8,40612,5,17
ft,9,40617,5,17
ft,10,40618,5,17
ft,11,40637,5,17
ft,12,40648,5,17
ft,13,40650,5,17
ft,14,40661,5,17
ft,15,41122,5,17
ft,16,41128,5,17
ft,17,41134,5,17
ft,18,41138,5,17
ft,19,41143,5,17
ft,20,41185,5,17
ft,21,41193,5,17
ft,22,41195,5,17
ft,23,41201,5,17
ft,24,41202,5,17
ft,25,41203,5,17
ft,26,41205,5,17
ft,27,41212,5,17
ft,28,41215,5,17
ft,29,41219,5,17
ft,30,41261,5,17
ft,31,41281,5,17
ft,32,41284,5,17
ft,33,41628,5,17
ft,34,41629,5,17
ft,35,41634,5,17
ft,36,41636,5,17
ft,37,41738,5,17
ft,38,41739,5,17
ft,39,42003,5,17
ft,40,42005,5,17
ft,41,42009,5,17
ft,42,42010,5,17
ft,43,42030,5,17
ft,44,42031,5,17
ft,45,42038,5,17
ft,46,42040,5,17
ft,47,42042,5,17
ft,48,42044,5,17
ft,49,42083,5,17
ft,50,42088,5,17
ft,51,42092,5,17
ft,52,42093,5,17
ft,53,42384,5,17
ft,54,42385,5,17
ft,55,42386,5,17
ft,56,42398,5,17
ft,57,42401,5,17
ft,58,42412,5,17
ft,59,42435,5,17
ft,60,42436,5,17
ft,61,42437,5,17
ft,62,42438,5,17
ft,63,42757,5,17
ft,64,42774,5,17
ft,65,42868,5,17
ft,66,42870,5,17
ft,67,42873,5,17
ft,68,42899,5,17
ft,69,42901,5,17
ft,70,42915,5,17
ft,71,42916,5,17
ft,72,42921,5,17
ft,73,43105,5,17
ft,74,43113,5,17
ft,75,43117,5,17
ft,76,43118,5,17
ft,77,43273,5,17
ft,78,43303,5,17
ft,79,43304,5,17
ft,80,43379,5,17
ft,81,43519,5,17
ft,82,43524,5,17
ft,83,43529,5,17
ft,84,43530,5,17
ft,85,43531,5,17
ft,86,43588,5,17
ft,87,43593,5,17
ft,88,43597,5,17
ft,89,43601,5,17
ft,90,43602,5,17
ft,91,43610,5,17
ft,92,43651,5,17
ft,93,43666,5,17
ft,94,43670,5,17
ft,95,43671,5,17
ft,96,43699,5,17
ft,97,43701,5,17
ft,98,43707,5,17
ft,99,43708,5,17
ft,100,43715,5,17
ft,101,43717,5,17
ft,102,43728,5,17
ft,103,44045,5,17
ft,104,44047,5,17
ft,105,44051,5,17
ft,106,44052,5,17
ft,107,44117,5,17
ft,108,44136,5,17
ft,109,44138,5,17
ft,110,44139,5,17
ft,111,44178,5,17
ft,112,44183,5,17
ft,113,44193,5,17
ft,114,44194,5,17
ft,115,44197,5,17
ft,116,44206,5,17
ft,117,44208,5,17
ft,118,44219,5,17
ft,119,44225,5,17
ft,120,44229,5,17
ft,121,44230,5,17
ft,122,44241,5,17
ft,123,44482,5,17
ft,124,44486,5,17
ft,125,44489,5,17
ft,126,44569,5,17
ft,127,44703,5,17
ft,128,44704,5,17
ft,129,44705,5,17
ft,130,44706,5,17
ft,131,44707,5,17
ft,132,44708,5,17
ft,133,44709,5,17
ft,134,44967,5,17
ft,135,44974,5,17
ft,136,44979,5,17
ft,137,44980,5,17
ft,138,44982,5,17
ft,139,45000,5,101
ft,140,45002,5,17
ft,141,45011,5,101
ft,142,45013,5,17
ft,143,45017,5,101
ft,144,45030,5,101
ft,145,45032,5,17
ft,146,45041,5,17
ft,147,45042,5,101
ft,148,45043,5,101
ft,149,45065,5,17
ft,150,45071,5,17
ft,151,45079,5,17
ft,152,45083,5,17
ft,153,45110,5,17
ft,154,45118,5,17
ft,155,45120,5,17
ft,156,45129,5,17
ft,157,45132,5,17
ft,158,45296,5,17
ft,159,45297,5,17
ft,160,45400,5,17
ft,161,45403,5,17
ft,162,45404,5,17
ft,163,45405,5,17
ft,164,45406,5,17
ft,165,45501,5,17
ft,166,45502,5,17
ft,167,45503,5,17
ft,168,45504,5,17
ft,169,45510,5,17
ft,170,45521,5,17
ft,171,45522,5,17
ft,172,45530,5,17
ft,173,45923,5,17
ft,174,45947,5,17
ft,175,45956,5,17
ft,176,45957,5,17
ft,177,45958,5,17
ft,178,45959,5,17
ft,179,46010,5,17
ft,180,46405,5,17
ft,181,46409,5,17
ft,182,46419,5,17
ft,183,46422,5,17
ft,184,46483,5,17
ft,185,46484,5,17
ft,186,46485,5,17
ft,187,46490,5,17
ft,188,46493,5,17
ft,189,46504,5,17
ft,190,46507,5,17
ft,191,46508,5,17
ft,192,46510,5,17
ft,193,46514,5,17
ft,194,46515,5,17
ft,195,46542,5,17
ft,196,46545,5,17
ft,197,46615,5,17
ft,198,46616,5,17
ft,199,46656,5,17
ft,200,46657,5,17
ft,201,46659,5,17
ft,202,46979,5,17
ft,203,47099,5,17
ft,204,47124,5,17
ft,205,47126,5,17
ft,206,47128,5,17
