Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,22290,5,14
ft,1,22291,5,14
ft,2,22294,5,0
ft,3,22295,5,14
ft,4,23062,5,0
ft,5,23089,5,14
ft,6,23103,5,14
ft,7,23104,5,14
ft,8,23105,5,14
ft,9,23410,5,0
ft,10,23496,5,14
ft,11,23497,5,14
ft,12,23560,5,14
ft,13,23561,5,14
ft,14,23563,5,0
ft,15,23565,5,14
ft,16,23567,5,14
ft,17,23568,5,14
ft,18,24012,5,0
ft,19,24048,5,14
ft,20,24049,5,14
ft,21,24054,5,14
ft,22,24055,5,14
ft,23,24056,5,14
ft,24,24057,5,14
ft,25,24058,5,14
ft,26,24060,5,14
ft,27,24061,5,14
ft,28,24063,5,14
ft,29,24064,5,14
ft,30,24065,5,14
ft,31,24066,5,14
ft,32,24067,5,14
ft,33,24068,5,14
ft,34,24434,5,14
ft,35,24435,5,14
ft,36,24439,5,14
ft,37,24441,5,14
ft,38,24442,5,14
ft,39,24444,5,14
ft,40,24445,5,14
ft,41,24469,5,14
ft,42,24474,5,14
ft,43,24475,5,14
ft,44,24476,5,14
ft,45,24508,5,14
ft,46,24509,5,14
ft,47,24547,5,14
ft,48,24550,5,14
ft,49,24557,5,14
ft,50,24734,5,0
ft,51,24777,5,14
ft,52,24778,5,14
ft,53,24780,5,14
ft,54,24782,5,0
ft,55,24784,5,14
ft,56,24785,5,14
ft,57,24786,5,14
ft,58,24813,5,14
ft,59,24814,5,14
ft,60,24815,5,14
ft,61,24816,5,14
ft,62,24817,5,14
ft,63,24820,5,14
ft,64,24821,5,14
ft,65,24825,5,14
ft,66,24861,5,14
ft,67,24862,5,14
ft,68,24863,5,14
ft,69,24869,5,14
ft,70,24876,5,0
ft,71,24878,5,14
ft,72,24993,5,14
ft,73,24996,5,14
ft,74,24997,5,14
ft,75,25001,5,14
ft,76,25002,5,14
ft,77,25008,5,14
ft,78,25011,5,14
ft,79,25166,5,14
ft,80,25177,5,14
ft,81,25184,5,14
ft,82,25187,5,0
ft,83,25188,5,14
ft,84,25191,5,14
ft,85,25216,5,0
ft,86,25218,5,0
ft,87,25222,5,0
ft,88,25232,5,14
ft,89,25235,5,14
ft,90,25236,5,14
ft,91,25237,5,0
ft,92,25238,5,0
ft,93,25239,5,14
ft,94,25240,5,14
ft,95,25283,5,0
ft,96,25462,5,14
ft,97,25465,5,14
ft,98,25468,5,14
ft,99,25488,5,14
ft,100,25491,5,14
ft,101,25492,5,14
ft,102,25493,5,14
ft,103,25501,5,14
ft,104,25502,5,14
ft,105,25507,5,14
ft,106,25508,5,14
ft,107,25678,5,0
ft,108,25679,5,14
ft,109,25680,5,14
ft,110,25682,5,14
ft,111,25689,5,0
ft,112,25690,5,14
ft,113,25691,5,14
ft,114,25704,5,14
ft,115,25705,5,14
ft,116,25708,5,14
ft,117,25710,5,14
ft,118,25711,5,14
ft,119,25712,5,14
ft,120,25715,5,14
ft,121,25719,5,14
ft,122,25720,5,14
ft,123,25725,5,14
ft,124,25765,5,14
ft,125,25766,5,14
ft,126,25848,5,14
ft,127,25849,5,14
ft,128,25886,5,14
ft,129,25889,5,14
ft,130,25892,5,14
ft,131,26042,5,14
ft,132,26043,5,14
ft,133,26069,5,14
ft,134,26070,5,14
ft,135,26081,5,14
ft,136,26099,5,14
ft,137,26112,5,14
ft,138,26227,5,0
ft,139,26375,5,14
ft,140,26376,5,14
ft,141,26377,5,14
ft,142,26378,5,14
ft,143,26379,5,14
ft,144,26380,5,14
ft,145,26383,5,14
ft,146,26385,5,14
ft,147,26405,5,14
ft,148,26406,5,14
ft,149,26407,5,14
ft,150,26408,5,14
ft,151,26409,5,14
ft,152,26410,5,14
ft,153,26421,5,0
ft,154,26443,5,14
ft,155,26450,5,14
ft,156,26452,5,14
ft,157,26504,5,14
ft,158,26508,5,14
ft,159,26513,5,14
ft,160,26514,5,14
ft,161,26632,5,14
ft,162,26633,5,14
ft,163,26647,5,14
ft,164,26648,5,14
ft,165,26649,5,112
ft,166,26650,5,112
ft,167,26667,5,0
ft,168,26737,5,14
ft,169,26739,5,14
ft,170,26743,5,14
ft,171,26751,5,14
ft,172,26755,5,14
ft,173,26756,5,14
ft,174,26772,5,14
ft,175,26773,5,14
ft,176,26774,5,14
ft,177,26775,5,14
ft,178,26776,5,14
ft,179,26780,5,14
ft,180,26781,5,0
ft,181,26786,5,0
ft,182,26810,5,0
ft,183,26811,5,14
ft,184,26866,5,0
ft,185,26907,5,14
ft,186,26929,5,14
ft,187,26941,5,0
ft,188,26942,5,14
ft,189,27060,5,14
ft,190,27062,5,14
ft,191,27063,5,14
ft,192,27083,5,0
ft,193,27115,5,14
ft,194,27116,5,14
ft,195,27118,5,14
ft,196,27119,5,14
ft,197,27120,5,14
ft,198,27121,5,14
ft,199,27123,5,0
ft,200,27124,5,14
ft,201,27131,5,14
