Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,392255,5,0
ft,1,392256,5,0
ft,2,392273,5,0
ft,3,392337,5,17
ft,4,392338,5,17
ft,5,392339,5,17
ft,6,392340,5,17
ft,7,392341,5,17
ft,8,392342,5,17
ft,9,392343,5,17
ft,10,392344,5,17
ft,11,392364,5,17
ft,12,392365,5,17
ft,13,392370,5,17
ft,14,395195,5,17
ft,15,395196,5,17
ft,16,395197,5,17
ft,17,395198,5,17
ft,18,395199,5,17
ft,19,395200,5,17
ft,20,395201,5,17
ft,21,395214,5,17
ft,22,395215,5,17
ft,23,395225,5,17
ft,24,395347,5,17
ft,25,395348,5,17
ft,26,395349,5,17
ft,27,395350,5,17
ft,28,395351,5,17
ft,29,395352,5,17
ft,30,395353,5,17
ft,31,395354,5,17
ft,32,396141,5,17
ft,33,396142,5,17
ft,34,398452,5,17
ft,35,398455,5,17
ft,36,398456,5,17
ft,37,400579,5,17
ft,38,400580,5,17
ft,39,400581,5,17
ft,40,400586,5,17
ft,41,400913,5,17
ft,42,400916,5,17
ft,43,400927,5,17
ft,44,400928,5,17
ft,45,400929,5,17
ft,46,400930,5,17
ft,47,400931,5,17
ft,48,400932,5,17
ft,49,400933,5,17
ft,50,400934,5,17
ft,51,401281,5,17
ft,52,401282,5,17
ft,53,401283,5,17
ft,54,401284,5,17
ft,55,401285,5,17
ft,56,401286,5,17
ft,57,401287,5,17
ft,58,401288,5,17
ft,59,401393,5,17
ft,60,401394,5,17
ft,61,401466,5,17
ft,62,401467,5,17
ft,63,404510,5,17
ft,64,404511,5,17
ft,65,404512,5,17
ft,66,404516,5,17
ft,67,404531,5,17
ft,68,404532,5,17
ft,69,404534,5,17
ft,70,404535,5,17
ft,71,404536,5,17
ft,72,404537,5,17
ft,73,404538,5,17
ft,74,404543,5,17
ft,75,404545,5,17
ft,76,404551,5,17
ft,77,404552,5,17
ft,78,404558,5,17
ft,79,404560,5,17
ft,80,404561,5,17
ft,81,407253,5,17
ft,82,407254,5,17
