Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,10029,5,13
ft,1,10034,5,13
ft,2,10038,5,13
ft,3,10575,5,13
ft,4,10591,5,13
ft,5,10592,5,13
ft,6,10597,5,13
ft,7,10741,5,13
ft,8,10754,5,13
ft,9,10756,5,13
ft,10,10761,5,13
ft,11,11362,5,13
ft,12,11376,5,13
ft,13,11504,5,13
ft,14,11512,5,13
ft,15,11515,5,13
ft,16,11517,5,13
ft,17,11729,5,13
ft,18,11779,5,13
ft,19,11792,5,13
ft,20,11794,5,13
ft,21,12214,5,13
ft,22,12215,5,13
ft,23,12220,5,13
ft,24,12226,5,13
ft,25,12227,5,13
ft,26,12440,5,13
ft,27,12441,5,13
ft,28,12573,5,13
ft,29,12727,5,13
ft,30,12732,5,13
ft,31,13114,5,13
ft,32,13203,5,13
ft,33,13211,5,13
ft,34,13222,5,13
ft,35,13224,5,13
ft,36,13355,5,13
ft,37,13358,5,13
ft,38,13362,5,13
ft,39,13367,5,13
ft,40,13368,5,13
ft,41,13486,5,13
ft,42,13487,5,13
ft,43,13488,5,13
ft,44,13493,5,13
ft,45,13494,5,13
ft,46,13627,5,13
ft,47,13704,5,13
ft,48,13705,5,13
ft,49,13706,5,0
ft,50,13707,5,13
ft,51,13709,5,13
ft,52,13721,5,13
ft,53,13727,5,13
ft,54,13906,5,13
ft,55,13914,5,13
ft,56,13919,5,13
ft,57,13925,5,13
ft,58,14000,5,13
ft,59,14008,5,13
ft,60,14022,5,13
ft,61,14139,5,13
ft,62,14140,5,13
ft,63,14283,5,13
ft,64,14284,5,13
ft,65,14421,5,13
ft,66,14422,5,13
ft,67,14522,5,13
ft,68,14523,5,13
ft,69,14524,5,13
ft,70,14548,5,13
ft,71,14550,5,13
ft,72,14562,5,13
ft,73,14717,5,13
ft,74,14982,5,13
ft,75,15004,5,13
ft,76,15007,5,13
ft,77,15014,5,13
ft,78,15016,5,13
ft,79,15099,5,0
ft,80,15102,5,13
ft,81,15105,5,13
ft,82,15110,5,13
ft,83,15113,5,13
ft,84,15342,5,13
ft,85,15449,5,13
ft,86,15450,5,13
ft,87,15451,5,13
ft,88,15496,5,13
ft,89,15540,5,13
ft,90,15547,5,13
ft,91,15552,5,13
ft,92,15553,5,13
ft,93,15628,5,13
ft,94,15640,5,13
ft,95,15644,5,13
ft,96,15645,5,13
ft,97,15764,5,13
ft,98,15765,5,13
ft,99,15900,5,13
ft,100,15903,5,13
ft,101,16096,5,13
ft,102,16112,5,13
ft,103,16120,5,13
ft,104,16126,5,13
ft,105,16131,5,13
ft,106,16132,5,13
ft,107,16146,5,13
ft,108,16269,5,13
ft,109,16280,5,13
ft,110,16295,5,13
ft,111,16362,5,0
ft,112,16379,5,13
ft,113,16383,5,13
ft,114,16392,5,13
ft,115,16393,5,13
ft,116,16394,5,13
ft,117,16580,5,13
ft,118,16581,5,13
ft,119,16582,5,13
ft,120,16586,5,13
ft,121,16595,5,13
ft,122,16601,5,13
ft,123,16602,5,13
ft,124,16605,5,13
ft,125,16632,5,13
ft,126,16633,5,13
ft,127,16819,5,13
ft,128,16897,5,13
ft,129,16901,5,13
ft,130,16905,5,13
ft,131,16906,5,13
ft,132,16917,5,13
ft,133,16925,5,13
ft,134,16968,5,13
ft,135,16969,5,13
ft,136,16970,5,13
ft,137,17011,5,13
ft,138,17024,5,13
ft,139,17025,5,13
ft,140,17030,5,13
ft,141,17282,5,13
ft,142,17291,5,13
ft,143,17293,5,13
ft,144,17298,5,13
ft,145,17422,5,13
ft,146,17476,5,13
ft,147,17621,5,13
ft,148,17680,5,13
ft,149,17681,5,13
ft,150,17682,5,13
ft,151,17683,5,13
ft,152,17694,5,13
ft,153,17703,5,13
ft,154,17704,5,13
ft,155,17709,5,13
ft,156,17875,5,13
ft,157,17876,5,13
ft,158,17877,5,13
ft,159,17878,5,13
ft,160,18225,5,13
