Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,73099,5,18
ft,1,73108,5,0
ft,2,73113,5,18
ft,3,77873,5,18
ft,4,77876,5,18
ft,5,77887,5,18
ft,6,77890,5,18
ft,7,77940,5,18
ft,8,77954,5,18
ft,9,77955,5,18
ft,10,81515,5,18
ft,11,81519,5,18
ft,12,81523,5,18
ft,13,81524,5,18
ft,14,82859,5,18
ft,15,82863,5,18
ft,16,82866,5,18
ft,17,83224,5,18
ft,18,83228,5,18
ft,19,83250,5,18
ft,20,83261,5,18
ft,21,84710,5,18
ft,22,84713,5,18
ft,23,84716,5,18
ft,24,84717,5,18
ft,25,84764,5,18
ft,26,84767,5,18
ft,27,85136,5,18
ft,28,85141,5,18
ft,29,86699,5,18
ft,30,86700,5,18
ft,31,86701,5,0
ft,32,86703,5,18
ft,33,86705,5,18
ft,34,86707,5,0
ft,35,86755,5,18
ft,36,86757,5,18
ft,37,86766,5,18
ft,38,86767,5,18
ft,39,86996,5,18
ft,40,87006,5,18
ft,41,87013,5,18
ft,42,87015,5,18
ft,43,87021,5,18
ft,44,87022,5,18
ft,45,87082,5,18
ft,46,87091,5,18
ft,47,87092,5,18
ft,48,87093,5,18
ft,49,87375,5,18
ft,50,87377,5,18
ft,51,88565,5,18
ft,52,88608,5,18
ft,53,88617,5,18
ft,54,88625,5,18
ft,55,88626,5,18
ft,56,88646,5,18
ft,57,88653,5,18
ft,58,88656,5,18
ft,59,88660,5,18
ft,60,88738,5,18
ft,61,88742,5,18
ft,62,88775,5,18
ft,63,88777,5,18
ft,64,88780,5,18
ft,65,88785,5,18
ft,66,88787,5,18
ft,67,88795,5,18
ft,68,88796,5,18
ft,69,88873,5,18
ft,70,88876,5,18
ft,71,88878,5,18
ft,72,89009,5,18
ft,73,89018,5,18
ft,74,89027,5,18
ft,75,89028,5,18
ft,76,89038,5,18
ft,77,89039,5,18
ft,78,90470,5,18
ft,79,90475,5,18
ft,80,90476,5,18
ft,81,90482,5,18
ft,82,90483,5,18
ft,83,90491,5,18
ft,84,90510,5,18
ft,85,90515,5,18
ft,86,90521,5,18
ft,87,90616,5,18
ft,88,90617,5,18
ft,89,90757,5,18
ft,90,90759,5,18
ft,91,90762,5,18
ft,92,90764,5,18
ft,93,91063,5,18
ft,94,91064,5,18
ft,95,91107,5,18
ft,96,91108,5,18
ft,97,91109,5,18
ft,98,92333,5,18
ft,99,92348,5,18
ft,100,92355,5,18
ft,101,92361,5,18
ft,102,92364,5,18
ft,103,92380,5,18
ft,104,92383,5,18
ft,105,92785,5,18
ft,106,92786,5,18
ft,107,92787,5,18
ft,108,92788,5,18
ft,109,92800,5,18
ft,110,92801,5,18
ft,111,92802,5,18
ft,112,92839,5,18
ft,113,92845,5,18
ft,114,92846,5,18
ft,115,92847,5,18
ft,116,93931,5,18
ft,117,93932,5,18
ft,118,94032,5,18
ft,119,94033,5,18
ft,120,94038,5,18
ft,121,94039,5,18
ft,122,94044,5,18
ft,123,94049,5,18
ft,124,94051,5,18
ft,125,94054,5,18
ft,126,94055,5,18
ft,127,94056,5,18
ft,128,94057,5,18
ft,129,94058,5,18
ft,130,94079,5,18
ft,131,94082,5,18
ft,132,94303,5,18
ft,133,94304,5,18
ft,134,94307,5,18
ft,135,95152,5,18
ft,136,95156,5,18
ft,137,95157,5,18
ft,138,95197,5,18
ft,139,95201,5,18
ft,140,95202,5,18
ft,141,95206,5,18
ft,142,95207,5,18
ft,143,95219,5,18
ft,144,95223,5,18
ft,145,95224,5,18
ft,146,95259,5,18
ft,147,95264,5,18
ft,148,95272,5,18
ft,149,95273,5,18
ft,150,95274,5,18
ft,151,95275,5,18
ft,152,95276,5,18
ft,153,95277,5,18
ft,154,95280,5,18
ft,155,95361,5,18
ft,156,95364,5,0
ft,157,95365,5,18
ft,158,95370,5,18
ft,159,95371,5,18
ft,160,95460,5,18
ft,161,95646,5,18
ft,162,95679,5,18
ft,163,95683,5,18
ft,164,95686,5,18
ft,165,95692,5,18
ft,166,95693,5,18
ft,167,95694,5,18
ft,168,95695,5,18
ft,169,95697,5,18
ft,170,95698,5,18
ft,171,95699,5,18
ft,172,96531,5,18
ft,173,96539,5,18
ft,174,96544,5,18
ft,175,96558,5,18
ft,176,96561,5,18
ft,177,96568,5,18
ft,178,96571,5,18
ft,179,96573,5,0
ft,180,96872,5,18
ft,181,96874,5,18
ft,182,96876,5,18
ft,183,96879,5,18
ft,184,96881,5,18
ft,185,96882,5,18
ft,186,96891,5,18
ft,187,96893,5,18
ft,188,96897,5,18
ft,189,96933,5,18
ft,190,96935,5,18
ft,191,96942,5,18
ft,192,96990,5,18
ft,193,96991,5,18
ft,194,96994,5,18
ft,195,96995,5,18
ft,196,96997,5,18
ft,197,96999,5,18
ft,198,97000,5,18
ft,199,97004,5,18
ft,200,97005,5,18
ft,201,97016,5,18
ft,202,97017,5,18
ft,203,97018,5,18
ft,204,97024,5,0
ft,205,97227,5,18
ft,206,97234,5,18
ft,207,97238,5,18
ft,208,97239,5,18
ft,209,97242,5,18
ft,210,97401,5,18
ft,211,97403,5,18
ft,212,97408,5,18
ft,213,97409,5,18
ft,214,97412,5,18
ft,215,97413,5,18
ft,216,97415,5,18
ft,217,97416,5,18
ft,218,98147,5,18
ft,219,98148,5,18
ft,220,98442,5,18
ft,221,98462,5,18
ft,222,98469,5,18
ft,223,98473,5,18
ft,224,98478,5,18
ft,225,98494,5,18
ft,226,98495,5,18
ft,227,98545,5,18
ft,228,98555,5,18
ft,229,98556,5,18
ft,230,98557,5,18
ft,231,98558,5,18
ft,232,98559,5,18
ft,233,98560,5,18
ft,234,98934,5,0
ft,235,98963,5,18
ft,236,98964,5,0
ft,237,98969,5,18
ft,238,98970,5,18
ft,239,98971,5,18
ft,240,98972,5,18
ft,241,98973,5,18
ft,242,98974,5,18
ft,243,99755,5,18
ft,244,99762,5,18
ft,245,99773,5,18
ft,246,99776,5,18
ft,247,99785,5,18
ft,248,99786,5,18
ft,249,99802,5,18
ft,250,99805,5,18
ft,251,99849,5,18
ft,252,99850,5,18
ft,253,99851,5,18
ft,254,99852,5,18
ft,255,99853,5,18
ft,256,99854,5,18
ft,257,99855,5,18
ft,258,99856,5,18
ft,259,99857,5,18
ft,260,99858,5,18
ft,261,99859,5,18
ft,262,99860,5,18
ft,263,100020,5,18
ft,264,100865,5,18
ft,265,101043,5,18
ft,266,101044,5,18
ft,267,101046,5,18
ft,268,101050,5,18
ft,269,101054,5,18
ft,270,101057,5,18
ft,271,101075,5,18
ft,272,101079,5,18
ft,273,101083,5,18
ft,274,101086,5,18
ft,275,101158,5,18
ft,276,101159,5,18
ft,277,101160,5,18
ft,278,101163,5,18
ft,279,101168,5,18
ft,280,101169,5,18
ft,281,101170,5,18
ft,282,101171,5,18
ft,283,101262,5,18
ft,284,101263,5,18
ft,285,101266,5,18
ft,286,101267,5,18
ft,287,101275,5,18
ft,288,101276,5,18
ft,289,101277,5,18
ft,290,102393,5,18
ft,291,102395,5,18
ft,292,102399,5,18
ft,293,102400,5,18
ft,294,102404,5,18
ft,295,102405,5,18
ft,296,102406,5,18
ft,297,102412,5,18
ft,298,102415,5,18
ft,299,102426,5,18
ft,300,102429,5,18
ft,301,102432,5,18
ft,302,102433,5,18
ft,303,102434,5,18
ft,304,102580,5,18
ft,305,102581,5,18
ft,306,102582,5,18
ft,307,102690,5,18
ft,308,102691,5,18
ft,309,102692,5,18
ft,310,102693,5,18
ft,311,102694,5,18
ft,312,102695,5,18
ft,313,102696,5,18
ft,314,103687,5,18
ft,315,103689,5,18
ft,316,103692,5,18
ft,317,103694,5,18
ft,318,103711,5,18
ft,319,103713,5,18
ft,320,103718,5,18
ft,321,103720,5,18
ft,322,103729,5,18
ft,323,103736,5,18
ft,324,103741,5,18
ft,325,103744,5,18
ft,326,103745,5,18
ft,327,103746,5,18
ft,328,103747,5,18
ft,329,104552,5,18
ft,330,104554,5,18
ft,331,104886,5,18
ft,332,104888,5,18
ft,333,104893,5,18
ft,334,104897,5,18
ft,335,104916,5,18
ft,336,104918,5,18
ft,337,104920,5,18
ft,338,104924,5,18
ft,339,104939,5,18
ft,340,104940,5,18
ft,341,105593,5,18
ft,342,105596,5,18
ft,343,105770,5,18
ft,344,105771,5,0
ft,345,105779,5,18
ft,346,105780,5,18
ft,347,105783,5,18
ft,348,105795,5,18
ft,349,105797,5,18
ft,350,105801,5,18
ft,351,105804,5,18
ft,352,105813,5,18
ft,353,105821,5,18
ft,354,105823,5,18
ft,355,105824,5,18
ft,356,105852,5,18
ft,357,106948,5,18
ft,358,107016,5,18
ft,359,107017,5,18
ft,360,107018,5,18
ft,361,107019,5,18
ft,362,108146,5,18
ft,363,108147,5,18
ft,364,108159,5,18
ft,365,108163,5,18
ft,366,108164,5,18
ft,367,108166,5,18
ft,368,108169,5,18
ft,369,108184,5,18
ft,370,108185,5,18
ft,371,108186,5,18
ft,372,108188,5,18
ft,373,108194,5,18
ft,374,108195,5,18
ft,375,109260,5,18
ft,376,109261,5,18
ft,377,109264,5,18
ft,378,109271,5,18
ft,379,109272,5,18
ft,380,109273,5,18
ft,381,110314,5,18
ft,382,110316,5,18
ft,383,110321,5,18
ft,384,110322,5,18
ft,385,110325,5,18
ft,386,110333,5,18
ft,387,110335,5,18
ft,388,110344,5,0
ft,389,111316,5,18
ft,390,111317,5,18
ft,391,111318,5,18
ft,392,111326,5,0
ft,393,111327,5,18
ft,394,112209,5,18
