Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,9266,5,18
ft,1,9270,5,18
ft,2,10563,5,18
ft,3,10575,5,18
ft,4,10576,5,18
ft,5,11031,5,18
ft,6,11086,5,18
ft,7,11094,5,18
ft,8,11098,5,18
ft,9,11135,5,18
ft,10,11137,5,18
ft,11,11476,5,18
ft,12,11477,5,18
ft,13,11505,5,18
ft,14,11507,5,18
ft,15,11510,5,18
ft,16,11603,5,18
ft,17,11606,5,18
ft,18,11618,5,18
ft,19,11620,5,18
ft,20,11623,5,18
ft,21,11884,5,18
ft,22,11893,5,18
ft,23,11898,5,18
ft,24,11902,5,18
ft,25,11914,5,18
ft,26,11919,5,18
ft,27,11924,5,18
ft,28,11930,5,18
ft,29,11935,5,18
ft,30,11942,5,18
ft,31,11945,5,18
ft,32,11989,5,18
ft,33,11991,5,18
ft,34,11995,5,18
ft,35,11996,5,18
ft,36,12030,5,18
ft,37,12033,5,18
ft,38,12035,5,18
ft,39,12039,5,18
ft,40,12040,5,18
ft,41,12041,5,0
ft,42,12189,5,18
ft,43,12195,5,18
ft,44,12318,5,18
ft,45,12321,5,18
ft,46,12324,5,18
ft,47,12336,5,18
ft,48,12338,5,18
ft,49,12347,5,18
ft,50,12348,5,18
ft,51,12446,5,18
ft,52,12447,5,18
ft,53,12451,5,0
ft,54,12659,5,18
ft,55,12660,5,18
ft,56,12665,5,18
ft,57,12666,5,18
ft,58,12674,5,18
ft,59,12675,5,18
ft,60,12679,5,18
ft,61,12680,5,18
ft,62,12721,5,18
ft,63,12724,5,18
ft,64,13077,5,18
ft,65,13081,5,18
ft,66,13082,5,18
ft,67,13093,5,18
ft,68,13094,5,18
ft,69,13095,5,18
ft,70,13096,5,18
ft,71,13100,5,18
ft,72,13101,5,18
ft,73,13102,5,18
ft,74,13103,5,18
ft,75,13106,5,18
ft,76,13351,5,18
ft,77,13398,5,18
ft,78,13399,5,18
ft,79,13411,5,0
ft,80,13412,5,18
ft,81,13413,5,18
ft,82,13414,5,18
ft,83,13415,5,18
ft,84,13416,5,18
ft,85,13658,5,18
ft,86,13661,5,18
ft,87,13685,5,18
ft,88,13686,5,18
ft,89,13788,5,18
ft,90,13789,5,18
ft,91,13790,5,18
ft,92,13795,5,18
ft,93,13796,5,18
ft,94,13797,5,18
ft,95,13806,5,18
ft,96,13807,5,18
ft,97,13808,5,18
ft,98,13809,5,18
