Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,6429,5,17
ft,1,6436,5,17
ft,2,6438,5,17
ft,3,6443,5,17
ft,4,6512,5,17
ft,5,6518,5,17
ft,6,6758,5,17
ft,7,6809,5,17
ft,8,6810,5,17
ft,9,6866,5,17
ft,10,6882,5,17
ft,11,6883,5,17
ft,12,6977,5,17
ft,13,6982,5,17
ft,14,6984,5,17
ft,15,7020,5,17
ft,16,7022,5,17
ft,17,7023,5,17
ft,18,7115,5,17
ft,19,7116,5,17
ft,20,7119,5,17
ft,21,7144,5,17
ft,22,7148,5,17
ft,23,7151,5,17
ft,24,7157,5,17
ft,25,7160,5,17
ft,26,7161,5,17
ft,27,7162,5,17
ft,28,7163,5,17
ft,29,7174,5,17
ft,30,7306,5,17
ft,31,7307,5,17
ft,32,7309,5,17
ft,33,7413,5,17
ft,34,7416,5,17
ft,35,7504,5,17
ft,36,7509,5,17
ft,37,7515,5,17
ft,38,7519,5,17
ft,39,7720,5,17
ft,40,7723,5,17
ft,41,7858,5,17
ft,42,7860,5,17
ft,43,7864,5,17
ft,44,7900,5,17
ft,45,7974,5,17
ft,46,8025,5,17
ft,47,8028,5,17
ft,48,8034,5,17
ft,49,8036,5,17
ft,50,8047,5,0
ft,51,8315,5,17
ft,52,8317,5,17
ft,53,8320,5,17
ft,54,8374,5,17
ft,55,8381,5,17
ft,56,8382,5,17
ft,57,8384,5,17
ft,58,8386,5,17
ft,59,8392,5,0
ft,60,8394,5,17
ft,61,8395,5,17
ft,62,8396,5,17
ft,63,8399,5,17
ft,64,8401,5,17
ft,65,8517,5,17
ft,66,8518,5,17
ft,67,8521,5,17
ft,68,8660,5,17
ft,69,8662,5,17
ft,70,8696,5,17
ft,71,8780,5,17
ft,72,8784,5,17
ft,73,8795,5,17
ft,74,8912,5,17
ft,75,8915,5,17
ft,76,8953,5,17
ft,77,8960,5,17
ft,78,8962,5,17
ft,79,9077,5,17
ft,80,9080,5,0
ft,81,9088,5,17
ft,82,9089,5,0
ft,83,9090,5,17
ft,84,9092,5,17
ft,85,9117,5,0
ft,86,9122,5,17
ft,87,9206,5,17
ft,88,9211,5,17
ft,89,9346,5,17
ft,90,9394,5,17
ft,91,9660,5,17
ft,92,9662,5,17
ft,93,9665,5,17
ft,94,9671,5,17
ft,95,9672,5,17
ft,96,9681,5,17
ft,97,9682,5,0
ft,98,9683,5,17
ft,99,9689,5,17
ft,100,9808,5,17
ft,101,9821,5,17
ft,102,9910,5,17
ft,103,9916,5,17
ft,104,9981,5,0
ft,105,10110,5,17
ft,106,10111,5,17
ft,107,10120,5,17
ft,108,10124,5,17
ft,109,10137,5,17
ft,110,10163,5,0
ft,111,10164,5,17
ft,112,10165,5,17
ft,113,10213,5,17
ft,114,10216,5,17
ft,115,10323,5,17
ft,116,10333,5,17
ft,117,10366,5,17
ft,118,10425,5,17
ft,119,10457,5,17
ft,120,10463,5,17
ft,121,10464,5,17
ft,122,10472,5,0
ft,123,10473,5,17
ft,124,10515,5,17
ft,125,10519,5,0
ft,126,10522,5,17
ft,127,10535,5,17
ft,128,10536,5,17
ft,129,10543,5,17
ft,130,10551,5,17
ft,131,10553,5,17
ft,132,10555,5,17
ft,133,10609,5,17
ft,134,10614,5,17
ft,135,10616,5,17
ft,136,10620,5,17
ft,137,10621,5,17
ft,138,10655,5,17
ft,139,10658,5,17
ft,140,10665,5,17
ft,141,10669,5,17
ft,142,10685,5,17
ft,143,10689,5,0
ft,144,10696,5,17
ft,145,10733,5,17
ft,146,10765,5,17
ft,147,10767,5,17
ft,148,10774,5,17
ft,149,10783,5,0
ft,150,10801,5,17
ft,151,10803,5,0
ft,152,10804,5,17
ft,153,10805,5,17
ft,154,10808,5,17
ft,155,10814,5,17
ft,156,10816,5,17
ft,157,10821,5,17
ft,158,10822,5,17
ft,159,10854,5,17
ft,160,10855,5,0
ft,161,10856,5,17
ft,162,10872,5,17
ft,163,10875,5,17
ft,164,10946,5,17
ft,165,10952,5,17
ft,166,10969,5,17
ft,167,10975,5,17
ft,168,10978,5,17
ft,169,10979,5,17
ft,170,10981,5,17
ft,171,10985,5,17
ft,172,10997,5,17
ft,173,11014,5,17
ft,174,11032,5,17
ft,175,11033,5,17
ft,176,11115,5,17
ft,177,11160,5,17
ft,178,11218,5,17
ft,179,11222,5,17
ft,180,11223,5,17
