Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,340948,5,17
ft,1,340963,5,17
ft,2,340974,5,17
ft,3,342743,5,17
ft,4,342759,5,17
ft,5,342764,5,17
ft,6,342770,5,17
ft,7,345035,5,17
ft,8,345047,5,17
ft,9,345057,5,17
ft,10,351817,5,17
ft,11,351819,5,17
ft,12,355886,5,17
ft,13,355888,5,17
ft,14,355892,5,17
ft,15,355893,5,17
ft,16,355988,5,17
ft,17,355996,5,17
ft,18,355997,5,17
ft,19,356000,5,17
ft,20,356023,5,17
ft,21,358607,5,17
ft,22,358608,5,17
ft,23,358609,5,17
ft,24,361380,5,17
ft,25,361381,5,17
ft,26,361382,5,17
ft,27,361490,5,17
ft,28,361497,5,17
ft,29,363983,5,17
ft,30,363987,5,17
ft,31,363988,5,17
ft,32,363989,5,17
ft,33,363993,5,17
ft,34,363994,5,17
ft,35,363995,5,17
ft,36,364138,5,17
ft,37,366817,5,17
ft,38,366819,5,17
ft,39,366825,5,17
ft,40,366826,5,17
ft,41,366827,5,17
ft,42,366828,5,17
ft,43,366829,5,17
ft,44,366830,5,17
ft,45,366833,5,17
ft,46,369422,5,17
ft,47,369709,5,0
ft,48,372161,5,17
ft,49,372163,5,17
ft,50,372164,5,17
ft,51,372168,5,17
ft,52,372169,5,17
ft,53,372173,5,17
ft,54,372177,5,0
ft,55,372180,5,17
ft,56,375179,5,17
ft,57,375188,5,17
ft,58,375258,5,17
ft,59,375259,5,17
ft,60,375261,5,17
ft,61,375262,5,17
ft,62,375263,5,17
ft,63,375264,5,17
ft,64,375265,5,17
ft,65,375267,5,17
ft,66,375358,5,17
ft,67,375367,5,17
ft,68,375371,5,17
ft,69,375372,5,17
ft,70,375377,5,17
ft,71,375416,5,17
ft,72,375418,5,17
ft,73,375420,5,17
ft,74,375421,5,17
ft,75,375425,5,17
ft,76,375426,5,17
ft,77,376135,5,17
ft,78,376145,5,17
ft,79,376146,5,17
ft,80,378187,5,17
ft,81,378223,5,17
ft,82,378229,5,17
ft,83,378230,5,17
ft,84,378235,5,17
ft,85,378237,5,17
ft,86,378241,5,17
ft,87,378500,5,0
ft,88,378512,5,17
ft,89,378516,5,17
ft,90,378521,5,17
ft,91,378541,5,17
ft,92,378543,5,17
ft,93,378551,5,17
ft,94,378552,5,17
ft,95,378554,5,0
ft,96,379135,5,17
ft,97,379148,5,17
ft,98,379149,5,17
ft,99,379150,5,17
ft,100,379155,5,0
ft,101,381251,5,17
ft,102,381253,5,17
ft,103,384177,5,17
ft,104,384182,5,17
ft,105,384183,5,17
ft,106,384184,5,17
ft,107,384311,5,17
ft,108,384858,5,17
ft,109,384860,5,17
ft,110,384862,5,17
ft,111,384863,5,17
ft,112,386859,5,17
ft,113,386865,5,17
ft,114,386867,5,17
ft,115,386871,5,0
ft,116,386872,5,17
ft,117,387223,5,17
ft,118,387224,5,0
ft,119,387230,5,17
ft,120,387232,5,17
ft,121,387233,5,0
ft,122,387236,5,17
ft,123,387240,5,17
ft,124,387243,5,0
ft,125,387266,5,17
ft,126,387268,5,0
ft,127,387274,5,17
ft,128,387277,5,17
ft,129,387282,5,17
ft,130,388061,5,0
ft,131,388071,5,17
ft,132,388101,5,17
ft,133,388105,5,17
ft,134,388107,5,17
ft,135,388109,5,17
ft,136,388110,5,17
ft,137,390250,5,17
ft,138,390251,5,17
ft,139,390252,5,17
ft,140,390253,5,17
ft,141,390256,5,17
ft,142,390342,5,17
ft,143,390384,5,17
ft,144,390385,5,17
ft,145,390386,5,17
ft,146,390387,5,17
ft,147,390404,5,17
ft,148,390405,5,0
ft,149,390703,5,0
ft,150,390705,5,17
ft,151,391436,5,17
ft,152,391448,5,17
ft,153,391449,5,17
ft,154,391455,5,17
ft,155,391457,5,17
ft,156,393433,5,17
ft,157,393434,5,17
ft,158,393440,5,17
ft,159,393441,5,17
ft,160,393442,5,17
ft,161,393522,5,17
ft,162,393523,5,17
ft,163,393525,5,17
ft,164,393526,5,17
ft,165,393527,5,17
ft,166,393582,5,17
ft,167,393583,5,17
ft,168,393591,5,17
ft,169,393593,5,17
ft,170,393686,5,0
ft,171,393689,5,17
ft,172,393691,5,17
ft,173,393692,5,17
ft,174,393693,5,17
ft,175,393694,5,17
ft,176,394429,5,0
ft,177,394433,5,17
ft,178,394434,5,17
ft,179,394435,5,17
ft,180,394436,5,17
ft,181,394447,5,17
ft,182,394449,5,17
ft,183,394453,5,17
ft,184,394454,5,17
ft,185,394455,5,17
ft,186,394839,5,17
ft,187,394844,5,17
ft,188,394847,5,17
ft,189,394848,5,17
ft,190,394858,5,17
ft,191,394866,5,17
ft,192,394867,5,17
ft,193,394875,5,17
ft,194,394877,5,17
ft,195,394880,5,17
ft,196,394882,5,17
ft,197,394888,5,17
ft,198,396580,5,17
