Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,44888,5,17
ft,1,44899,5,17
ft,2,44905,5,17
ft,3,44918,5,17
ft,4,44930,5,17
ft,5,44931,5,17
ft,6,47359,5,17
ft,7,47360,5,17
ft,8,47361,5,17
ft,9,47936,5,17
ft,10,47939,5,17
ft,11,47956,5,17
ft,12,47957,5,17
ft,13,47958,5,17
ft,14,47959,5,17
ft,15,47963,5,17
ft,16,47965,5,17
ft,17,48544,5,17
ft,18,48549,5,17
ft,19,48552,5,17
ft,20,48557,5,17
ft,21,48561,5,17
ft,22,48685,5,17
ft,23,48691,5,17
ft,24,48692,5,17
ft,25,49155,5,17
ft,26,49156,5,17
ft,27,49157,5,17
ft,28,49158,5,17
ft,29,49165,5,17
ft,30,49173,5,17
ft,31,49192,5,0
ft,32,49835,5,17
ft,33,49861,5,17
ft,34,49865,5,17
ft,35,49873,5,17
ft,36,49874,5,17
ft,37,49875,5,17
ft,38,49876,5,17
ft,39,49890,5,17
ft,40,49914,5,0
ft,41,49918,5,0
ft,42,50210,5,0
ft,43,50502,5,17
ft,44,50504,5,0
ft,45,50508,5,0
ft,46,50509,5,17
ft,47,50529,5,17
ft,48,51092,5,17
ft,49,51387,5,17
ft,50,51397,5,17
ft,51,51402,5,17
ft,52,51405,5,17
ft,53,51409,5,17
ft,54,51442,5,0
ft,55,51443,5,17
ft,56,51446,5,17
ft,57,51453,5,17
ft,58,51455,5,17
ft,59,51467,5,17
ft,60,51473,5,17
ft,61,51478,5,17
ft,62,51479,5,17
ft,63,51482,5,17
ft,64,51484,5,17
ft,65,51717,5,17
ft,66,51721,5,17
ft,67,51722,5,17
ft,68,51785,5,17
ft,69,51786,5,17
ft,70,51788,5,17
ft,71,51791,5,0
ft,72,51794,5,17
ft,73,51994,5,0
ft,74,51997,5,0
ft,75,52009,5,0
ft,76,52019,5,17
ft,77,52020,5,17
ft,78,52021,5,17
ft,79,52022,5,17
ft,80,52272,5,17
ft,81,52274,5,17
ft,82,52282,5,17
ft,83,52284,5,17
ft,84,52286,5,101
ft,85,52697,5,17
ft,86,52726,5,17
ft,87,52727,5,17
ft,88,52752,5,17
ft,89,52753,5,17
ft,90,52754,5,17
ft,91,52755,5,17
ft,92,52756,5,17
ft,93,53425,5,17
ft,94,53429,5,17
ft,95,53434,5,17
ft,96,53435,5,17
ft,97,53769,5,17
ft,98,53770,5,17
ft,99,53772,5,17
ft,100,53799,5,101
ft,101,53804,5,101
ft,102,53805,5,0
ft,103,53806,5,17
ft,104,53807,5,0
ft,105,54136,5,17
ft,106,54162,5,17
ft,107,54172,5,17
ft,108,54174,5,0
ft,109,54182,5,17
ft,110,54185,5,17
ft,111,54192,5,17
ft,112,54193,5,17
ft,113,54204,5,17
ft,114,54206,5,17
ft,115,54544,5,17
ft,116,54863,5,17
ft,117,54864,5,17
ft,118,54868,5,17
ft,119,54869,5,17
ft,120,54870,5,17
ft,121,55351,5,17
ft,122,55354,5,17
ft,123,55355,5,17
ft,124,55611,5,17
ft,125,55625,5,17
ft,126,55626,5,17
ft,127,55652,5,17
ft,128,55653,5,17
ft,129,55657,5,17
ft,130,55658,5,17
ft,131,55659,5,17
ft,132,55908,5,17
ft,133,55912,5,17
ft,134,55916,5,17
ft,135,55918,5,17
ft,136,55920,5,0
ft,137,55921,5,17
ft,138,55922,5,17
ft,139,55976,5,17
ft,140,56265,5,0
ft,141,56716,5,17
ft,142,56723,5,17
ft,143,57030,5,17
ft,144,57031,5,17
ft,145,57037,5,17
ft,146,57039,5,17
ft,147,57040,5,17
ft,148,57070,5,17
ft,149,57450,5,17
ft,150,57451,5,17
ft,151,57498,5,0
ft,152,57747,5,17
ft,153,57748,5,17
ft,154,57751,5,17
ft,155,57762,5,17
ft,156,57764,5,17
ft,157,57766,5,17
ft,158,57772,5,17
ft,159,57781,5,17
ft,160,57783,5,17
ft,161,58164,5,17
ft,162,58168,5,17
ft,163,58169,5,17
ft,164,58187,5,17
ft,165,58197,5,17
ft,166,58199,5,17
ft,167,58207,5,17
ft,168,58208,5,17
ft,169,58209,5,17
ft,170,59032,5,0
ft,171,59056,5,17
ft,172,59057,5,17
ft,173,59058,5,17
ft,174,59281,5,17
ft,175,59282,5,17
ft,176,59716,5,17
ft,177,59717,5,17
ft,178,59718,5,17
ft,179,59783,5,17
ft,180,59788,5,17
ft,181,59789,5,17
ft,182,59793,5,17
ft,183,59800,5,17
ft,184,59802,5,17
ft,185,60006,5,17
ft,186,60015,5,17
ft,187,60020,5,17
ft,188,60021,5,17
ft,189,60022,5,17
ft,190,60069,5,17
ft,191,60070,5,17
ft,192,60071,5,17
ft,193,60076,5,17
ft,194,60077,5,17
ft,195,60078,5,17
ft,196,60079,5,17
ft,197,60084,5,17
ft,198,60085,5,17
ft,199,60086,5,17
ft,200,60087,5,17
ft,201,60529,5,17
ft,202,60530,5,17
ft,203,60537,5,17
ft,204,60538,5,17
ft,205,60540,5,17
ft,206,60544,5,17
ft,207,60555,5,17
ft,208,60564,5,17
ft,209,60566,5,17
ft,210,60786,5,0
ft,211,60787,5,0
ft,212,61324,5,17
ft,213,61335,5,17
ft,214,61343,5,17
ft,215,61504,5,17
ft,216,61515,5,17
ft,217,61518,5,17
ft,218,61521,5,17
ft,219,61534,5,17
ft,220,61535,5,17
ft,221,61541,5,17
ft,222,61542,5,17
ft,223,61543,5,17
ft,224,61564,5,17
ft,225,61572,5,17
ft,226,61585,5,17
ft,227,62043,5,0
ft,228,62121,5,17
ft,229,62732,5,17
ft,230,62733,5,17
ft,231,62734,5,17
ft,232,62742,5,17
ft,233,62745,5,17
ft,234,62747,5,17
ft,235,62753,5,17
ft,236,62756,5,17
ft,237,62763,5,17
ft,238,62767,5,17
ft,239,62979,5,17
ft,240,62980,5,17
ft,241,62983,5,17
ft,242,62987,5,17
ft,243,62988,5,17
ft,244,62989,5,17
ft,245,62991,5,17
ft,246,62993,5,17
ft,247,63006,5,17
ft,248,63007,5,17
ft,249,63008,5,17
ft,250,63009,5,17
ft,251,63010,5,17
ft,252,63523,5,17
ft,253,63524,5,17
ft,254,63551,5,17
ft,255,64003,5,17
ft,256,64041,5,17
ft,257,64043,5,17
ft,258,64054,5,17
ft,259,64057,5,17
ft,260,64062,5,17
