Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,208724,5,0
ft,1,209507,5,103
ft,2,209508,5,103
ft,3,209510,5,103
ft,4,209513,5,103
ft,5,209516,5,103
ft,6,209557,5,103
ft,7,210825,5,103
ft,8,210827,5,103
ft,9,210831,5,103
ft,10,210832,5,103
ft,11,210834,5,103
ft,12,210835,5,103
ft,13,210843,5,103
ft,14,210844,5,103
ft,15,211306,5,103
ft,16,211309,5,103
ft,17,211310,5,103
ft,18,211311,5,103
ft,19,211715,5,103
ft,20,211716,5,103
ft,21,211717,5,103
ft,22,211718,5,103
ft,23,211802,5,103
ft,24,211804,5,103
ft,25,211805,5,103
ft,26,211807,5,103
ft,27,211808,5,103
ft,28,211809,5,103
ft,29,211816,5,103
ft,30,211817,5,103
ft,31,211818,5,103
ft,32,211819,5,103
ft,33,211820,5,103
ft,34,211821,5,103
ft,35,211822,5,103
ft,36,211823,5,103
ft,37,211824,5,103
ft,38,211840,5,103
ft,39,211842,5,103
ft,40,211843,5,103
ft,41,211844,5,103
ft,42,211848,5,103
ft,43,211850,5,103
ft,44,211854,5,103
ft,45,211859,5,103
ft,46,212320,5,103
ft,47,212321,5,103
ft,48,212410,5,0
ft,49,212430,5,103
ft,50,212432,5,103
ft,51,212450,5,103
ft,52,212452,5,103
ft,53,212453,5,103
ft,54,212454,5,103
ft,55,212465,5,103
ft,56,212466,5,103
ft,57,212467,5,103
ft,58,212468,5,103
ft,59,212922,5,103
ft,60,212924,5,103
ft,61,212936,5,103
ft,62,212938,5,103
ft,63,212939,5,103
ft,64,212940,5,103
ft,65,212943,5,103
ft,66,212944,5,103
ft,67,212977,5,103
ft,68,212979,5,103
ft,69,212985,5,103
ft,70,212986,5,103
ft,71,212987,5,103
ft,72,212988,5,103
ft,73,212989,5,103
ft,74,212990,5,103
ft,75,213021,5,103
ft,76,213022,5,103
ft,77,213023,5,103
ft,78,213024,5,103
ft,79,213025,5,103
ft,80,213026,5,103
ft,81,213027,5,103
ft,82,213028,5,103
ft,83,213029,5,103
ft,84,213030,5,103
ft,85,213031,5,103
ft,86,213032,5,103
ft,87,213033,5,103
ft,88,213034,5,103
ft,89,213035,5,103
ft,90,213036,5,103
ft,91,213037,5,103
ft,92,213048,5,0
ft,93,213051,5,103
ft,94,213052,5,103
ft,95,213056,5,103
ft,96,213058,5,103
ft,97,213059,5,103
ft,98,213061,5,103
ft,99,213062,5,103
ft,100,213063,5,103
ft,101,213064,5,103
ft,102,213066,5,103
ft,103,213067,5,103
ft,104,213068,5,103
ft,105,213069,5,103
ft,106,213070,5,103
ft,107,213071,5,103
ft,108,213072,5,103
ft,109,213073,5,103
ft,110,213074,5,103
ft,111,213075,5,103
ft,112,213076,5,103
ft,113,213077,5,103
