Block Name,Cell ID,vtkOriginalCellIds,Cell Type,ft
ft,0,27292,5,101
ft,1,27294,5,14
ft,2,27295,5,101
ft,3,27296,5,14
ft,4,27471,5,14
ft,5,27474,5,14
ft,6,27503,5,14
ft,7,27504,5,14
ft,8,27505,5,14
ft,9,27506,5,14
ft,10,27507,5,14
ft,11,27511,5,14
ft,12,27634,5,14
ft,13,27637,5,14
ft,14,27639,5,14
ft,15,27643,5,14
ft,16,27645,5,14
ft,17,27736,5,14
ft,18,27737,5,14
ft,19,27740,5,14
ft,20,27741,5,14
ft,21,27742,5,14
ft,22,27743,5,14
ft,23,27746,5,14
ft,24,27749,5,14
ft,25,27753,5,14
ft,26,27754,5,14
ft,27,27758,5,14
ft,28,27759,5,14
ft,29,27760,5,14
ft,30,27761,5,14
ft,31,27762,5,14
ft,32,27818,5,14
ft,33,27819,5,14
ft,34,27821,5,14
ft,35,27822,5,14
ft,36,27823,5,14
ft,37,27824,5,14
ft,38,27825,5,14
ft,39,27826,5,14
ft,40,27831,5,0
ft,41,27917,5,14
ft,42,27919,5,14
ft,43,27922,5,14
ft,44,27924,5,14
ft,45,27925,5,0
ft,46,27926,5,14
ft,47,27927,5,14
ft,48,27934,5,14
ft,49,28068,5,14
ft,50,28069,5,14
ft,51,28070,5,14
ft,52,28071,5,14
ft,53,28072,5,14
ft,54,28124,5,14
ft,55,28126,5,14
ft,56,28129,5,14
ft,57,28130,5,14
ft,58,28131,5,14
ft,59,28132,5,14
ft,60,28133,5,14
ft,61,28134,5,14
ft,62,28136,5,14
ft,63,28201,5,14
ft,64,28202,5,14
ft,65,28203,5,14
ft,66,28204,5,14
ft,67,28243,5,14
ft,68,28244,5,14
ft,69,28246,5,14
ft,70,28247,5,14
ft,71,28254,5,14
ft,72,28257,5,14
ft,73,28259,5,14
ft,74,28263,5,14
ft,75,28286,5,14
ft,76,28295,5,14
ft,77,28421,5,14
ft,78,28422,5,14
ft,79,28423,5,14
ft,80,28489,5,14
ft,81,28490,5,14
ft,82,28534,5,14
ft,83,28547,5,14
ft,84,28553,5,14
ft,85,28558,5,14
ft,86,28560,5,14
ft,87,28561,5,14
ft,88,28562,5,14
ft,89,28563,5,14
ft,90,28574,5,14
ft,91,28575,5,14
ft,92,28577,5,14
ft,93,28579,5,14
ft,94,28733,5,14
ft,95,28734,5,14
ft,96,28803,5,14
ft,97,28804,5,14
ft,98,28941,5,14
ft,99,28946,5,14
ft,100,29087,5,14
